eva,iso,fun,dos,rep,d1,d2
1,1,boscalid,0,1,2490,2638
1,1,boscalid,0,2,2258,2431
1,1,boscalid,0.01,1,3055,3077
1,1,boscalid,0.01,2,2225,2188
1,1,boscalid,0.05,1,2340,2453
1,1,boscalid,0.1,1,2157,1780
1,1,boscalid,0.1,2,1983,1824
1,1,boscalid,0.5,1,1896,1710
1,1,boscalid,1,1,1775,1807
1,1,boscalid,1,2,1965,1904
1,1,boscalid,10,1,1273,1481
1,1,boscalid,50,1,1465,1348
1,1,boscalid,50,2,1325,1432
1,1,boscalid,100,1,1258,1482
1,1,fluopyram,0,1,2490,2638
1,1,fluopyram,0,2,2258,2431
1,1,fluopyram,0.01,1,2259,1870
1,1,fluopyram,0.01,2,1967,1833
1,1,fluopyram,0.05,1,2628,2740
1,1,fluopyram,0.1,1,2056,1915
1,1,fluopyram,0.1,2,2095,2254
1,1,fluopyram,0.5,1,1830,2162
1,1,fluopyram,1,1,1872,1681
1,1,fluopyram,1,2,2161,2023
1,1,fluopyram,10,1,1061,1363
1,1,fluopyram,50,1,500,500
1,1,fluopyram,50,2,500,500
1,1,fluopyram,100,1,500,500
1,1,fluxapyroxad,0,1,2490,2638
1,1,fluxapyroxad,0,2,2258,2431
1,1,fluxapyroxad,0.01,1,2269,2671
1,1,fluxapyroxad,0.01,2,2143,2309
1,1,fluxapyroxad,0.05,1,2479,2408
1,1,fluxapyroxad,0.1,1,2053,1769
1,1,fluxapyroxad,0.1,2,2099,2067
1,1,fluxapyroxad,0.5,1,2275,1921
1,1,fluxapyroxad,1,1,2220,1993
1,1,fluxapyroxad,1,2,1808,1620
1,1,fluxapyroxad,10,1,1983,1600
1,1,fluxapyroxad,50,1,1699,1909
1,1,fluxapyroxad,50,2,1586,1691
1,1,fluxapyroxad,100,1,1285,1286
1,1,penthiopyrad,0,1,2490,2638
1,1,penthiopyrad,0,2,2258,2431
1,1,penthiopyrad,0.01,1,2576,2700
1,1,penthiopyrad,0.01,2,2489,2355
1,1,penthiopyrad,0.05,1,1794,1945
1,1,penthiopyrad,0.1,1,1574,1625
1,1,penthiopyrad,0.1,2,1913,1969
1,1,penthiopyrad,0.5,1,1675,1620
1,1,penthiopyrad,1,1,2022,1979
1,1,penthiopyrad,1,2,1947,1664
1,1,penthiopyrad,10,1,1348,1411
1,1,penthiopyrad,50,1,1272,1256
1,1,penthiopyrad,50,2,1376,1233
1,1,penthiopyrad,100,1,1167,1255
1,2,boscalid,0,1,1870,2159
1,2,boscalid,0,2,2184,2167
1,2,boscalid,0.01,1,1825,1688
1,2,boscalid,0.01,2,1827,2065
1,2,boscalid,0.05,1,2048,1955
1,2,boscalid,0.1,1,1499,1795
1,2,boscalid,0.1,2,1419,1504
1,2,boscalid,0.5,1,1692,1674
1,2,boscalid,1,1,1699,1720
1,2,boscalid,1,2,1510,1620
1,2,boscalid,10,1,1692,1647
1,2,boscalid,50,1,1330,1671
1,2,boscalid,50,2,1340,1475
1,2,boscalid,100,1,1239,1413
1,2,fluopyram,0,1,1870,2159
1,2,fluopyram,0,2,2184,2167
1,2,fluopyram,0.01,1,1748,1680
1,2,fluopyram,0.01,2,1447,1604
1,2,fluopyram,0.05,1,1657,1631
1,2,fluopyram,0.1,1,1540,1527
1,2,fluopyram,0.1,2,1525,1441
1,2,fluopyram,0.5,1,1540,1572
1,2,fluopyram,1,1,1378,1426
1,2,fluopyram,1,2,1352,1315
1,2,fluopyram,10,1,1373,1373
1,2,fluopyram,50,1,500,500
1,2,fluopyram,50,2,500,500
1,2,fluopyram,100,1,500,500
1,2,fluxapyroxad,0,1,1870,2159
1,2,fluxapyroxad,0,2,2184,2167
1,2,fluxapyroxad,0.01,1,2276,2488
1,2,fluxapyroxad,0.01,2,2111,1849
1,2,fluxapyroxad,0.05,1,1691,1862
1,2,fluxapyroxad,0.1,1,1667,1804
1,2,fluxapyroxad,0.1,2,1837,1856
1,2,fluxapyroxad,0.5,1,1732,1711
1,2,fluxapyroxad,1,1,1719,1855
1,2,fluxapyroxad,1,2,1848,1864
1,2,fluxapyroxad,10,1,1708,1652
1,2,fluxapyroxad,50,1,1790,1753
1,2,fluxapyroxad,50,2,1668,1546
1,2,fluxapyroxad,100,1,1398,1530
1,2,penthiopyrad,0,1,1870,2159
1,2,penthiopyrad,0,2,2184,2167
1,2,penthiopyrad,0.01,1,1906,2078
1,2,penthiopyrad,0.01,2,1947,2177
1,2,penthiopyrad,0.05,1,2026,1690
1,2,penthiopyrad,0.1,1,1329,1755
1,2,penthiopyrad,0.1,2,1442,1551
1,2,penthiopyrad,0.5,1,1453,1484
1,2,penthiopyrad,1,1,1534,1693
1,2,penthiopyrad,1,2,1726,1580
1,2,penthiopyrad,10,1,1267,1609
1,2,penthiopyrad,50,1,1412,1124
1,2,penthiopyrad,50,2,1187,1246
1,2,penthiopyrad,100,1,1221,1251
1,3,boscalid,0,1,2287,2315
1,3,boscalid,0,2,2561,2344
1,3,boscalid,0.01,1,2414,2259
1,3,boscalid,0.01,2,2324,2442
1,3,boscalid,0.05,1,2296,2222
1,3,boscalid,0.1,1,NA,NA
1,3,boscalid,0.1,2,NA,NA
1,3,boscalid,0.5,1,1705,1707
1,3,boscalid,1,1,1437,1320
1,3,boscalid,1,2,1315,1325
1,3,boscalid,10,1,500,500
1,3,boscalid,50,1,500,500
1,3,boscalid,50,2,500,500
1,3,boscalid,100,1,500,500
1,3,fluopyram,0,1,2287,2315
1,3,fluopyram,0,2,2561,2344
1,3,fluopyram,0.01,1,2052,1808
1,3,fluopyram,0.01,2,1656,1593
1,3,fluopyram,0.05,1,1487,1524
1,3,fluopyram,0.1,1,1691,1710
1,3,fluopyram,0.1,2,1798,1694
1,3,fluopyram,0.5,1,1471,1434
1,3,fluopyram,1,1,1283,1302
1,3,fluopyram,1,2,1091,1114
1,3,fluopyram,10,1,500,500
1,3,fluopyram,50,1,500,500
1,3,fluopyram,50,2,500,500
1,3,fluopyram,100,1,500,500
1,3,fluxapyroxad,0,1,2287,2315
1,3,fluxapyroxad,0,2,2561,2344
1,3,fluxapyroxad,0.01,1,2344,2543
1,3,fluxapyroxad,0.01,2,2131,2005
1,3,fluxapyroxad,0.05,1,2147,1923
1,3,fluxapyroxad,0.1,1,2104,1905
1,3,fluxapyroxad,0.1,2,1482,1394
1,3,fluxapyroxad,0.5,1,1473,1585
1,3,fluxapyroxad,1,1,1606,1589
1,3,fluxapyroxad,1,2,1772,1893
