yr;hed;tra;plo;tre;rep;inc;def
2015;heavy;mer3;1A;1;1;4.8;2
2015;heavy;mer3;1A;2;1;4.8;20
2015;heavy;mer3;1A;3;1;4.5;8
2015;heavy;cnt;1A;4;1;4;6
2015;normal;fon2;1B;5;1;3;10
2015;normal;fon2;1B;6;1;3.5;16
2015;normal;fon2;1B;7;1;4.5;3
2015;normal;cnt;1B;8;1;2.8;35
2015;heavy;mer2;1C;9;1;5;9
2015;heavy;mer2;1C;10;1;4.5;10
2015;heavy;mer2;1C;11;1;4.8;0
2015;heavy;cnt;1C;12;1;3;5
2015;normal;mer3;2A;13;1;3.5;26
2015;normal;mer3;2A;14;1;3;10
2015;normal;mer3;2A;15;1;3;7
2015;normal;cnt;2A;16;1;4;4
2015;heavy;fon2;2B;17;1;3.5;7
2015;heavy;fon2;2B;18;1;4;5
2015;heavy;fon2;2B;19;1;4.5;4
2015;heavy;cnt;2B;20;1;3.5;4
2015;normal;mer2;2C;21;1;3;24
2015;normal;mer2;2C;22;1;3;5
2015;normal;mer2;2C;23;1;3;4
2015;normal;cnt;2C;24;1;4.5;5
2015;heavy;mer2;3A;25;1;3;15
2015;heavy;mer2;3A;26;1;4.5;25
2015;heavy;mer2;3A;27;1;3.5;9
2015;heavy;cnt;3A;28;1;3.5;25
2015;normal;mer3;3B;29;1;3.5;5
2015;normal;mer3;3B;30;1;2;4
2015;normal;mer3;3B;31;1;3;21
2015;normal;cnt;3B;32;1;4.5;5
2015;heavy;mer3;3C;33;1;4.5;20
2015;heavy;mer3;3C;34;1;4.5;4
2015;heavy;mer3;3C;35;1;4;0
2015;heavy;cnt;3C;36;1;3;6
2015;normal;mer2;4A;37;1;4;5
2015;normal;mer2;4A;38;1;4;17
2015;normal;mer2;4A;39;1;3;33
2015;normal;cnt;4A;40;1;2.5;22
2015;heavy;fon2;4B;41;1;4.5;1
2015;heavy;fon2;4B;42;1;5;1
2015;heavy;fon2;4B;43;1;3.5;7
2015;heavy;cnt;4B;44;1;3.5;8
2015;normal;fon2;4C;45;1;3;16
2015;normal;fon2;4C;46;1;2;8
2015;normal;fon2;4C;47;1;3;14
2015;normal;cnt;4C;48;1;2;27
2015;heavy;mer3;1A;1;2;4.5;0
2015;heavy;mer3;1A;2;2;5;17
2015;heavy;mer3;1A;3;2;4;14
2015;heavy;cnt;1A;4;2;3.5;7
2015;normal;fon2;1B;5;2;2.8;15
2015;normal;fon2;1B;6;2;3.5;11
2015;normal;fon2;1B;7;2;4;3
2015;normal;cnt;1B;8;2;3;29
2015;heavy;mer2;1C;9;2;4.5;12
2015;heavy;mer2;1C;10;2;4.5;7
2015;heavy;mer2;1C;11;2;4.5;22
2015;heavy;cnt;1C;12;2;3;14
2015;normal;mer3;2A;13;2;2.5;12
2015;normal;mer3;2A;14;2;3.5;9
2015;normal;mer3;2A;15;2;2.5;8
2015;normal;cnt;2A;16;2;2.5;18
2015;heavy;fon2;2B;17;2;3.8;21
2015;heavy;fon2;2B;18;2;4;3
2015;heavy;fon2;2B;19;2;4;12
2015;heavy;cnt;2B;20;2;4;11
2015;normal;mer2;2C;21;2;4;7
2015;normal;mer2;2C;22;2;3.5;15
2015;normal;mer2;2C;23;2;3.5;29
2015;normal;cnt;2C;24;2;4;5
2015;heavy;mer2;3A;25;2;3;8
2015;heavy;mer2;3A;26;2;4;4
2015;heavy;mer2;3A;27;2;3.5;10
2015;heavy;cnt;3A;28;2;3;38
2015;normal;mer3;3B;29;2;3.5;10
2015;normal;mer3;3B;30;2;3;7
2015;normal;mer3;3B;31;2;3.5;11
2015;normal;cnt;3B;32;2;4.5;8
2015;heavy;mer3;3C;33;2;4;36
2015;heavy;mer3;3C;34;2;4;12
2015;heavy;mer3;3C;35;2;4;9
2015;heavy;cnt;3C;36;2;3;29
2015;normal;mer2;4A;37;2;4;18
2015;normal;mer2;4A;38;2;4;24
2015;normal;mer2;4A;39;2;3;44
2015;normal;cnt;4A;40;2;2.5;42
2015;heavy;fon2;4B;41;2;4;12
2015;heavy;fon2;4B;42;2;4.5;2
2015;heavy;fon2;4B;43;2;3;7
2015;heavy;cnt;4B;44;2;3.5;6
2015;normal;fon2;4C;45;2;3;24
2015;normal;fon2;4C;46;2;3;15
2015;normal;fon2;4C;47;2;2.5;15
2015;normal;cnt;4C;48;2;2.5;29
2016;heavy;mer3;1A;1;1;3;17
2016;heavy;mer3;1A;2;1;4;27
2016;heavy;mer3;1A;3;1;3;19
2016;heavy;cnt;1A;4;1;2.5;16
2016;normal;mer3;2A;5;1;2.5;22
2016;normal;mer3;2A;6;1;3.5;18
2016;normal;mer3;2A;7;1;4;16
2016;normal;cnt;2A;8;1;3;13
2016;heavy;mer2;3A;9;1;2;16
2016;heavy;mer2;3A;10;1;2.5;12
2016;heavy;mer2;3A;11;1;2.5;5
2016;heavy;cnt;3A;12;1;2;15
2016;normal;mer2;4A;13;1;3.5;13
2016;normal;mer2;4A;14;1;3.5;19
2016;normal;mer2;4A;15;1;2.5;66
2016;normal;cnt;4A;16;1;1.5;13
2016;normal;fon2;1B;17;1;4;11
2016;normal;fon2;1B;18;1;3.5;38
2016;normal;fon2;1B;19;1;3.5;31
2016;normal;cnt;1B;20;1;3;28
2016;heavy;fon2;2B;21;1;3;33
2016;heavy;fon2;2B;22;1;2.5;8
2016;heavy;fon2;2B;23;1;2.5;6
2016;heavy;cnt;2B;24;1;3;17
2016;normal;mer3;3B;25;1;2.5;12
2016;normal;mer3;3B;26;1;2;44
2016;normal;mer3;3B;27;1;4;22
2016;normal;cnt;3B;28;1;2;31
2016;heavy;fon2;4B;29;1;2;38
2016;heavy;fon2;4B;30;1;2;19
2016;heavy;fon2;4B;31;1;3;7
2016;heavy;cnt;4B;32;1;3.5;21
2016;heavy;mer2;1C;33;1;4;12
2016;heavy;mer2;1C;34;1;4;18
2016;heavy;mer2;1C;35;1;3;16
2016;heavy;cnt;1C;36;1;3;15
2016;normal;mer2;2C;37;1;4;20
2016;normal;mer2;2C;38;1;2.5;59
2016;normal;mer2;2C;39;1;2.5;12
2016;normal;cnt;2C;40;1;4;2
2016;heavy;mer3;3C;41;1;3;44
2016;heavy;mer3;3C;42;1;3.5;25
2016;heavy;mer3;3C;43;1;3;14
2016;heavy;cnt;3C;44;1;2.5;17
2016;normal;fon2;4C;45;1;3;14
2016;normal;fon2;4C;46;1;3;22
2016;normal;fon2;4C;47;1;3.5;5
2016;normal;cnt;4C;48;1;2.5;14
2016;heavy;mer3;1A;1;2;3;15
2016;heavy;mer3;1A;2;2;4;30
2016;heavy;mer3;1A;3;2;4;58
2016;heavy;cnt;1A;4;2;3;20
2016;normal;mer3;2A;5;2;3.5;6
2016;normal;mer3;2A;6;2;3.5;13
2016;normal;mer3;2A;7;2;3.5;12
2016;normal;cnt;2A;8;2;3;6
2016;heavy;mer2;3A;9;2;2.5;35
2016;heavy;mer2;3A;10;2;4;45
2016;heavy;mer2;3A;11;2;3;28
2016;heavy;cnt;3A;12;2;2;25
2016;normal;mer2;4A;13;2;3.5;4
2016;normal;mer2;4A;14;2;3;2
2016;normal;mer2;4A;15;2;3;5
2016;normal;cnt;4A;16;2;2;15
2016;normal;fon2;1B;17;2;4;9
2016;normal;fon2;1B;18;2;4;15
2016;normal;fon2;1B;19;2;3.5;28
2016;normal;cnt;1B;20;2;2.5;62
2016;heavy;fon2;2B;21;2;3.5;67
2016;heavy;fon2;2B;22;2;2;14
2016;heavy;fon2;2B;23;2;2.5;12
2016;heavy;cnt;2B;24;2;3;19
2016;normal;mer3;3B;25;2;2.5;10
2016;normal;mer3;3B;26;2;2.5;53
2016;normal;mer3;3B;27;2;4;14
2016;normal;cnt;3B;28;2;1.5;40
2016;heavy;fon2;4B;29;2;1.5;42
2016;heavy;fon2;4B;30;2;1.5;6
2016;heavy;fon2;4B;31;2;2;12
2016;heavy;cnt;4B;32;2;3;3
2016;heavy;mer2;1C;33;2;4;16
2016;heavy;mer2;1C;34;2;4;13
2016;heavy;mer2;1C;35;2;3.5;12
2016;heavy;cnt;1C;36;2;2.5;13
2016;normal;mer2;2C;37;2;3.5;13
2016;normal;mer2;2C;38;2;3;28
2016;normal;mer2;2C;39;2;3.5;25
2016;normal;cnt;2C;40;2;3;18
2016;heavy;mer3;3C;41;2;2;42
2016;heavy;mer3;3C;42;2;3.5;14
2016;heavy;mer3;3C;43;2;3.5;16
2016;heavy;cnt;3C;44;2;3;50
2016;normal;fon2;4C;45;2;4;13
2016;normal;fon2;4C;46;2;3;14
2016;normal;fon2;4C;47;2;3;18
2016;normal;cnt;4C;48;2;3;9
