eva,iso,fun,rep,dos,d1,d2
1,m1,Myclobutanil,1,0,2326,2355
1,m1,Myclobutanil,2,0,2430,2380
1,m1,Myclobutanil,1,0.001,1848,1848
1,m1,Myclobutanil,1,0.005,1329,1564
1,m1,Myclobutanil,2,0.005,1897,1537
1,m1,Myclobutanil,1,0.025,1569,1649
1,m1,Myclobutanil,1,0.125,1498,1617
1,m1,Myclobutanil,2,0.125,1488,1699
1,m1,Myclobutanil,1,0.625,1354,1209
1,m1,Myclobutanil,1,3.125,1247,1168
1,m1,Myclobutanil,2,3.125,1236,1168
1,m1,Myclobutanil,1,15.625,634,694
1,m1,Propiconazole,1,0,2326,2355
1,m1,Propiconazole,2,0,2430,2380
1,m1,Propiconazole,1,0.001,1803,1534
1,m1,Propiconazole,1,0.005,2009,1805
1,m1,Propiconazole,2,0.005,1069,1205
1,m1,Propiconazole,1,0.025,1658,1596
1,m1,Propiconazole,1,0.125,1163,1201
1,m1,Propiconazole,2,0.125,971,1025
1,m1,Propiconazole,1,0.625,611,617
1,m1,Propiconazole,1,3.125,400,400
1,m1,Propiconazole,2,3.125,400,400
1,m1,Propiconazole,1,15.625,400,400
1,m1,Prothioconazole,1,0,2326,2355
1,m1,Prothioconazole,2,0,2430,2380
1,m1,Prothioconazole,1,0.001,1807,1651
1,m1,Prothioconazole,1,0.005,2079,1913
1,m1,Prothioconazole,2,0.005,1011,1158
1,m1,Prothioconazole,1,0.025,960,909
1,m1,Prothioconazole,1,0.125,571,573
1,m1,Prothioconazole,2,0.125,682,639
1,m1,Prothioconazole,1,0.625,400,400
1,m1,Prothioconazole,1,3.125,400,400
1,m1,Prothioconazole,2,3.125,400,400
1,m1,Prothioconazole,1,15.625,400,400
1,m1,Tebuconazole,1,0,2326,2355
1,m1,Tebuconazole,2,0,2430,2380
1,m1,Tebuconazole,1,0.001,2099,2246
1,m1,Tebuconazole,1,0.005,1009,1010
1,m1,Tebuconazole,2,0.005,2032,1459
1,m1,Tebuconazole,1,0.025,1791,1796
1,m1,Tebuconazole,1,0.125,1668,1665
1,m1,Tebuconazole,2,0.125,888,983
1,m1,Tebuconazole,1,0.625,1126,1048
1,m1,Tebuconazole,1,3.125,686,647
1,m1,Tebuconazole,2,3.125,566,597
1,m1,Tebuconazole,1,15.625,400,400
2,m1,Myclobutanil,1,0,1555,1566
2,m1,Myclobutanil,2,0,1529,1451
2,m1,Myclobutanil,1,0.001,1605,1442
2,m1,Myclobutanil,1,0.005,1507,1522
2,m1,Myclobutanil,2,0.005,1358,1437
2,m1,Myclobutanil,1,0.025,1553,1506
2,m1,Myclobutanil,1,0.125,1519,1618
2,m1,Myclobutanil,2,0.125,1530,1357
2,m1,Myclobutanil,1,0.625,1171,1328
2,m1,Myclobutanil,1,3.125,1293,1291
2,m1,Myclobutanil,2,3.125,1230,1235
2,m1,Myclobutanil,1,15.625,733,678
2,m1,Propiconazole,1,0,1555,1566
2,m1,Propiconazole,2,0,1529,1451
2,m1,Propiconazole,1,0.001,1299,1431
2,m1,Propiconazole,1,0.005,1439,1578
2,m1,Propiconazole,2,0.005,1540,1538
2,m1,Propiconazole,1,0.025,1504,1443
2,m1,Propiconazole,1,0.125,1272,1410
2,m1,Propiconazole,2,0.125,1289,1319
2,m1,Propiconazole,1,0.625,736,714
2,m1,Propiconazole,1,3.125,400,400
2,m1,Propiconazole,2,3.125,400,400
2,m1,Propiconazole,1,15.625,400,400
2,m1,Prothioconazole,1,0,1555,1566
2,m1,Prothioconazole,2,0,1529,1451
2,m1,Prothioconazole,1,0.001,960,1131
2,m1,Prothioconazole,1,0.005,1060,1085
2,m1,Prothioconazole,2,0.005,1601,1399
2,m1,Prothioconazole,1,0.025,1301,1363
2,m1,Prothioconazole,1,0.125,400,400
2,m1,Prothioconazole,2,0.125,400,400
2,m1,Prothioconazole,1,0.625,400,400
2,m1,Prothioconazole,1,3.125,400,400
2,m1,Prothioconazole,2,3.125,400,400
2,m1,Prothioconazole,1,15.625,400,400
2,m1,Tebuconazole,1,0,1555,1566
2,m1,Tebuconazole,2,0,1529,1451
2,m1,Tebuconazole,1,0.001,1407,1339
2,m1,Tebuconazole,1,0.005,1299,1302
2,m1,Tebuconazole,2,0.005,1244,1233
2,m1,Tebuconazole,1,0.025,1173,1194
2,m1,Tebuconazole,1,0.125,1338,1214
2,m1,Tebuconazole,2,0.125,1318,1294
2,m1,Tebuconazole,1,0.625,1043,1116
2,m1,Tebuconazole,1,3.125,657,652
2,m1,Tebuconazole,2,3.125,744,745
2,m1,Tebuconazole,1,15.625,400,400
1,m2,Myclobutanil,1,0,4471,4709
1,m2,Myclobutanil,2,0,4341,4300
1,m2,Myclobutanil,1,0.001,4301,4392
1,m2,Myclobutanil,1,0.005,4018,3994
1,m2,Myclobutanil,2,0.005,2713,2466
1,m2,Myclobutanil,1,0.025,3970,3850
1,m2,Myclobutanil,1,0.125,2936,2905
1,m2,Myclobutanil,2,0.125,2805,2943
1,m2,Myclobutanil,1,0.625,1636,1637
1,m2,Myclobutanil,1,3.125,714,744
1,m2,Myclobutanil,2,3.125,791,735
1,m2,Myclobutanil,1,15.625,400,400
1,m2,Propiconazole,1,0,4471,4709
1,m2,Propiconazole,2,0,4341,4300
1,m2,Propiconazole,1,0.001,2888,3331
1,m2,Propiconazole,1,0.005,2908,3283
1,m2,Propiconazole,2,0.005,2444,2888
1,m2,Propiconazole,1,0.025,1217,1351
1,m2,Propiconazole,1,0.125,701,701
1,m2,Propiconazole,2,0.125,400,400
1,m2,Propiconazole,1,0.625,400,400
1,m2,Propiconazole,1,3.125,400,400
1,m2,Propiconazole,2,3.125,400,400
1,m2,Propiconazole,1,15.625,400,400
1,m2,Prothioconazole,1,0,4471,4709
1,m2,Prothioconazole,2,0,4341,4300
1,m2,Prothioconazole,1,0.001,1983,1918
1,m2,Prothioconazole,1,0.005,755,590
1,m2,Prothioconazole,2,0.005,650,649
1,m2,Prothioconazole,1,0.025,547,572
1,m2,Prothioconazole,1,0.125,400,400
1,m2,Prothioconazole,2,0.125,400,400
1,m2,Prothioconazole,1,0.625,400,400
1,m2,Prothioconazole,1,3.125,400,400
1,m2,Prothioconazole,2,3.125,400,400
1,m2,Prothioconazole,1,15.625,400,400
1,m2,Tebuconazole,1,0,4471,4709
1,m2,Tebuconazole,2,0,4341,4300
1,m2,Tebuconazole,1,0.001,3827,3904
1,m2,Tebuconazole,1,0.005,2663,2572
1,m2,Tebuconazole,2,0.005,2674,2615
1,m2,Tebuconazole,1,0.025,2861,2763
1,m2,Tebuconazole,1,0.125,1321,1289
1,m2,Tebuconazole,2,0.125,1100,1200
1,m2,Tebuconazole,1,0.625,703,730
1,m2,Tebuconazole,1,3.125,400,400
1,m2,Tebuconazole,2,3.125,400,400
1,m2,Tebuconazole,1,15.625,400,400
2,m2,Myclobutanil,1,0,1839,1820
2,m2,Myclobutanil,2,0,1856,2090
2,m2,Myclobutanil,1,0.001,2311,2507
2,m2,Myclobutanil,1,0.005,1564,1397
2,m2,Myclobutanil,2,0.005,1867,1915
2,m2,Myclobutanil,1,0.025,1981,1951
2,m2,Myclobutanil,1,0.125,1623,1622
2,m2,Myclobutanil,2,0.125,1609,1616
2,m2,Myclobutanil,1,0.625,1299,1353
2,m2,Myclobutanil,1,3.125,766,769
2,m2,Myclobutanil,2,3.125,737,751
2,m2,Myclobutanil,1,15.625,400,400
2,m2,Propiconazole,1,0,1839,1820
2,m2,Propiconazole,2,0,1856,2090
2,m2,Propiconazole,1,0.001,1586,1517
2,m2,Propiconazole,1,0.005,1464,1462
2,m2,Propiconazole,2,0.005,1426,1371
2,m2,Propiconazole,1,0.025,1128,1128
2,m2,Propiconazole,1,0.125,766,831
2,m2,Propiconazole,2,0.125,731,767
2,m2,Propiconazole,1,0.625,556,614
2,m2,Propiconazole,1,3.125,400,400
2,m2,Propiconazole,2,3.125,400,400
2,m2,Propiconazole,1,15.625,400,400
2,m2,Prothioconazole,1,0,1839,1820
2,m2,Prothioconazole,2,0,1856,2090
2,m2,Prothioconazole,1,0.001,2078,2126
2,m2,Prothioconazole,1,0.005,1186,1283
2,m2,Prothioconazole,2,0.005,1263,1246
2,m2,Prothioconazole,1,0.025,814,838
2,m2,Prothioconazole,1,0.125,400,400
2,m2,Prothioconazole,2,0.125,400,400
2,m2,Prothioconazole,1,0.625,400,400
2,m2,Prothioconazole,1,3.125,400,400
2,m2,Prothioconazole,2,3.125,400,400
2,m2,Prothioconazole,1,15.625,400,400
2,m2,Tebuconazole,1,0,1839,1820
2,m2,Tebuconazole,2,0,1856,2090
2,m2,Tebuconazole,1,0.001,1810,1732
2,m2,Tebuconazole,1,0.005,1593,1522
2,m2,Tebuconazole,2,0.005,1691,1787
2,m2,Tebuconazole,1,0.025,1504,1510
2,m2,Tebuconazole,1,0.125,1096,1113
2,m2,Tebuconazole,2,0.125,1221,1176
2,m2,Tebuconazole,1,0.625,783,743
2,m2,Tebuconazole,1,3.125,400,400
2,m2,Tebuconazole,2,3.125,400,400
2,m2,Tebuconazole,1,15.625,400,400
1,m3,Myclobutanil,1,0,2093,2190
1,m3,Myclobutanil,2,0,1873,2001
1,m3,Myclobutanil,1,0.001,1533,1449
1,m3,Myclobutanil,1,0.005,1479,1354
1,m3,Myclobutanil,2,0.005,1274,1415
1,m3,Myclobutanil,1,0.025,2186,2006
1,m3,Myclobutanil,1,0.125,2197,2164
1,m3,Myclobutanil,2,0.125,1598,1619
1,m3,Myclobutanil,1,0.625,1654,1542
1,m3,Myclobutanil,1,3.125,1553,1617
1,m3,Myclobutanil,2,3.125,1652,1715
1,m3,Myclobutanil,1,15.625,537,498
1,m3,Propiconazole,1,0,2093,2190
1,m3,Propiconazole,2,0,1873,2001
1,m3,Propiconazole,1,0.001,2503,2595
1,m3,Propiconazole,1,0.005,2071,2150
1,m3,Propiconazole,2,0.005,2064,2031
1,m3,Propiconazole,1,0.025,1634,1776
1,m3,Propiconazole,1,0.125,1399,1391
1,m3,Propiconazole,2,0.125,1328,1389
1,m3,Propiconazole,1,0.625,537,534
1,m3,Propiconazole,1,3.125,400,400
1,m3,Propiconazole,2,3.125,400,400
1,m3,Propiconazole,1,15.625,400,400
1,m3,Prothioconazole,1,0,2093,2190
1,m3,Prothioconazole,2,0,1873,2001
1,m3,Prothioconazole,1,0.001,1934,1878
1,m3,Prothioconazole,1,0.005,2101,2044
1,m3,Prothioconazole,2,0.005,1988,2117
1,m3,Prothioconazole,1,0.025,1371,1302
1,m3,Prothioconazole,1,0.125,604,550
1,m3,Prothioconazole,2,0.125,499,565
1,m3,Prothioconazole,1,0.625,400,400
1,m3,Prothioconazole,1,3.125,400,400
1,m3,Prothioconazole,2,3.125,400,400
1,m3,Prothioconazole,1,15.625,400,400
1,m3,Tebuconazole,1,0,2093,2190
1,m3,Tebuconazole,2,0,1873,2001
1,m3,Tebuconazole,1,0.001,1318,1563
1,m3,Tebuconazole,1,0.005,1377,1514
1,m3,Tebuconazole,2,0.005,1052,1316
1,m3,Tebuconazole,1,0.025,1292,1295
1,m3,Tebuconazole,1,0.125,1150,1145
1,m3,Tebuconazole,2,0.125,1225,1331
1,m3,Tebuconazole,1,0.625,1157,1196
1,m3,Tebuconazole,1,3.125,494,431
1,m3,Tebuconazole,2,3.125,524,516
1,m3,Tebuconazole,1,15.625,400,400
2,m3,Myclobutanil,1,0,1702,1602
2,m3,Myclobutanil,2,0,1646,1671
2,m3,Myclobutanil,1,0.001,1605,1620
2,m3,Myclobutanil,1,0.005,1064,1026
2,m3,Myclobutanil,2,0.005,1063,1247
2,m3,Myclobutanil,1,0.025,1388,1404
2,m3,Myclobutanil,1,0.125,1482,1417
2,m3,Myclobutanil,2,0.125,1354,1319
2,m3,Myclobutanil,1,0.625,1220,1222
2,m3,Myclobutanil,1,3.125,1124,1185
2,m3,Myclobutanil,2,3.125,1012,1006
2,m3,Myclobutanil,1,15.625,783,815
2,m3,Propiconazole,1,0,1702,1602
2,m3,Propiconazole,2,0,1646,1671
2,m3,Propiconazole,1,0.001,1673,1670
2,m3,Propiconazole,1,0.005,1794,1778
2,m3,Propiconazole,2,0.005,1137,1237
2,m3,Propiconazole,1,0.025,1582,1434
2,m3,Propiconazole,1,0.125,1084,1073
2,m3,Propiconazole,2,0.125,1221,1081
2,m3,Propiconazole,1,0.625,702,686
2,m3,Propiconazole,1,3.125,400,400
2,m3,Propiconazole,2,3.125,400,400
2,m3,Propiconazole,1,15.625,400,400
2,m3,Prothioconazole,1,0,1702,1602
2,m3,Prothioconazole,2,0,1646,1671
2,m3,Prothioconazole,1,0.001,1706,1614
2,m3,Prothioconazole,1,0.005,1678,1578
2,m3,Prothioconazole,2,0.005,1741,1590
2,m3,Prothioconazole,1,0.025,1522,1468
2,m3,Prothioconazole,1,0.125,1647,722
2,m3,Prothioconazole,2,0.125,784,637
2,m3,Prothioconazole,1,0.625,545,545
2,m3,Prothioconazole,1,3.125,400,400
2,m3,Prothioconazole,2,3.125,400,400
2,m3,Prothioconazole,1,15.625,400,400
2,m3,Tebuconazole,1,0,1702,1602
2,m3,Tebuconazole,2,0,1646,1671
2,m3,Tebuconazole,1,0.001,1689,1691
2,m3,Tebuconazole,1,0.005,1640,1551
2,m3,Tebuconazole,2,0.005,1687,1682
2,m3,Tebuconazole,1,0.025,1719,1827
2,m3,Tebuconazole,1,0.125,1364,1569
2,m3,Tebuconazole,2,0.125,1650,1633
2,m3,Tebuconazole,1,0.625,1166,1305
2,m3,Tebuconazole,1,3.125,520,566
2,m3,Tebuconazole,2,3.125,542,573
2,m3,Tebuconazole,1,15.625,400,400
1,m4,Myclobutanil,1,0,2137,2310
1,m4,Myclobutanil,2,0,2227,2167
1,m4,Myclobutanil,1,0.001,2084,2056
1,m4,Myclobutanil,1,0.005,1762,1864
1,m4,Myclobutanil,2,0.005,2692,2484
1,m4,Myclobutanil,1,0.025,1989,2019
1,m4,Myclobutanil,1,0.125,2019,2056
1,m4,Myclobutanil,2,0.125,1916,2068
1,m4,Myclobutanil,1,0.625,1833,1941
1,m4,Myclobutanil,1,3.125,1311,1438
1,m4,Myclobutanil,2,3.125,1389,1257
1,m4,Myclobutanil,1,15.625,568,569
1,m4,Propiconazole,1,0,2137,2310
1,m4,Propiconazole,2,0,2227,2167
1,m4,Propiconazole,1,0.001,2083,2310
1,m4,Propiconazole,1,0.005,2047,2247
1,m4,Propiconazole,2,0.005,2022,1985
1,m4,Propiconazole,1,0.025,1709,1839
1,m4,Propiconazole,1,0.125,1006,1010
1,m4,Propiconazole,2,0.125,1002,1025
1,m4,Propiconazole,1,0.625,660,720
1,m4,Propiconazole,1,3.125,400,400
1,m4,Propiconazole,2,3.125,400,400
1,m4,Propiconazole,1,15.625,400,400
1,m4,Prothioconazole,1,0,2137,2310
1,m4,Prothioconazole,2,0,2227,2167
1,m4,Prothioconazole,1,0.001,1701,1725
1,m4,Prothioconazole,1,0.005,1154,1278
1,m4,Prothioconazole,2,0.005,1222,1190
1,m4,Prothioconazole,1,0.025,1140,1050
1,m4,Prothioconazole,1,0.125,640,640
1,m4,Prothioconazole,2,0.125,603,610
1,m4,Prothioconazole,1,0.625,400,400
1,m4,Prothioconazole,1,3.125,400,400
1,m4,Prothioconazole,2,3.125,400,400
1,m4,Prothioconazole,1,15.625,400,400
1,m4,Tebuconazole,1,0,2137,2310
1,m4,Tebuconazole,2,0,2227,2167
1,m4,Tebuconazole,1,0.001,2057,2031
1,m4,Tebuconazole,1,0.005,2304,1979
1,m4,Tebuconazole,2,0.005,2007,2001
1,m4,Tebuconazole,1,0.025,1902,1905
1,m4,Tebuconazole,1,0.125,1702,1762
1,m4,Tebuconazole,2,0.125,1738,1683
1,m4,Tebuconazole,1,0.625,1189,1157
1,m4,Tebuconazole,1,3.125,615,558
1,m4,Tebuconazole,2,3.125,599,547
1,m4,Tebuconazole,1,15.625,400,400
2,m4,Myclobutanil,1,0,2413,2371
2,m4,Myclobutanil,2,0,2018,2021
2,m4,Myclobutanil,1,0.001,1635,1778
2,m4,Myclobutanil,1,0.005,2021,2053
2,m4,Myclobutanil,2,0.005,1752,1572
2,m4,Myclobutanil,1,0.025,1735,1318
2,m4,Myclobutanil,1,0.125,1691,1574
2,m4,Myclobutanil,2,0.125,1313,1424
2,m4,Myclobutanil,1,0.625,1466,1428
2,m4,Myclobutanil,1,3.125,1311,1276
2,m4,Myclobutanil,2,3.125,1139,1230
2,m4,Myclobutanil,1,15.625,612,549
2,m4,Propiconazole,1,0,2413,2371
2,m4,Propiconazole,2,0,2018,2021
2,m4,Propiconazole,1,0.001,1801,1898
2,m4,Propiconazole,1,0.005,2214,2117
2,m4,Propiconazole,2,0.005,2036,1940
2,m4,Propiconazole,1,0.025,1362,1346
2,m4,Propiconazole,1,0.125,1070,1033
2,m4,Propiconazole,2,0.125,1039,984
2,m4,Propiconazole,1,0.625,830,788
2,m4,Propiconazole,1,3.125,400,400
2,m4,Propiconazole,2,3.125,400,400
2,m4,Propiconazole,1,15.625,400,400
2,m4,Prothioconazole,1,0,2413,2371
2,m4,Prothioconazole,2,0,2018,2021
2,m4,Prothioconazole,1,0.001,2005,1653
2,m4,Prothioconazole,1,0.005,1677,1675
2,m4,Prothioconazole,2,0.005,1256,1369
2,m4,Prothioconazole,1,0.025,1156,1237
2,m4,Prothioconazole,1,0.125,566,601
2,m4,Prothioconazole,2,0.125,522,490
2,m4,Prothioconazole,1,0.625,400,400
2,m4,Prothioconazole,1,3.125,400,400
