cober;gesso;prof;varie;bloc;tens;umid
Millet;0;0-0.05;Pérola;1;0;0.4882
Millet;0;0-0.05;Pérola;2;0;0.4334
Millet;0;0-0.05;Pérola;3;0;0.3425
Millet;0;0-0.05;Pérola;4;0;0.4152
Millet;0;0-0.05;Pérola;1;1;0.4893
Millet;0;0-0.05;Pérola;2;1;0.4158
Millet;0;0-0.05;Pérola;3;1;0.3463
Millet;0;0-0.05;Pérola;4;1;0.398
Millet;0;0-0.05;Pérola;1;2;0.4114
Millet;0;0-0.05;Pérola;2;2;0.3603
Millet;0;0-0.05;Pérola;3;2;0.3409
Millet;0;0-0.05;Pérola;4;2;0.3599
Millet;0;0-0.05;Pérola;1;4;0.2716
Millet;0;0-0.05;Pérola;2;4;0.2677
Millet;0;0-0.05;Pérola;3;4;0.2943
Millet;0;0-0.05;Pérola;4;4;0.2711
Millet;0;0-0.05;Pérola;1;6;0.2144
Millet;0;0-0.05;Pérola;2;6;0.2161
Millet;0;0-0.05;Pérola;3;6;0.2509
Millet;0;0-0.05;Pérola;4;6;0.2245
Millet;0;0-0.05;Pérola;1;8;0.1822
Millet;0;0-0.05;Pérola;2;8;0.1948
Millet;0;0-0.05;Pérola;3;8;0.2143
Millet;0;0-0.05;Pérola;4;8;0.2004
Millet;0;0-0.05;Pérola;1;9;0.1746
Millet;0;0-0.05;Pérola;2;9;0.1827
Millet;0;0-0.05;Pérola;3;9;0.2027
Millet;0;0-0.05;Pérola;4;9;0.1897
Millet;0;0-0.05;Pérola;1;10;0.14
Millet;0;0-0.05;Pérola;2;10;0.1729
Millet;0;0-0.05;Pérola;3;10;0.1941
Millet;0;0-0.05;Pérola;4;10;0.1811
Millet;0;0-0.05;Pérola;1;33;0.099
Millet;0;0-0.05;Pérola;2;33;0.1222
Millet;0;0-0.05;Pérola;3;33;0.1288
Millet;0;0-0.05;Pérola;4;33;0.128
Millet;0;0-0.05;Pérola;1;66;0.0922
Millet;0;0-0.05;Pérola;2;66;0.1063
Millet;0;0-0.05;Pérola;3;66;0.124
Millet;0;0-0.05;Pérola;4;66;0.1275
Millet;0;0-0.05;Pérola;1;100;0.0909
Millet;0;0-0.05;Pérola;2;100;0.1004
Millet;0;0-0.05;Pérola;3;100;0.1171
Millet;0;0-0.05;Pérola;4;100;0.1252
Millet;0;0-0.05;Pérola;1;300;0.0881
Millet;0;0-0.05;Pérola;2;300;0.0991
Millet;0;0-0.05;Pérola;3;300;0.1363
Millet;0;0-0.05;Pérola;4;300;0.1008
Millet;0;0-0.05;Pérola;1;1500;0.0835
Millet;0;0-0.05;Pérola;2;1500;0.104
Millet;0;0-0.05;Pérola;3;1500;0.1407
Millet;0;0-0.05;Pérola;4;1500;0.074
Millet;0;0-0.05;Smooth cayenne;1;0;0.3821
Millet;0;0-0.05;Smooth cayenne;2;0;0.4367
Millet;0;0-0.05;Smooth cayenne;3;0;0.4027
Millet;0;0-0.05;Smooth cayenne;4;0;0.4059
Millet;0;0-0.05;Smooth cayenne;1;1;0.3647
Millet;0;0-0.05;Smooth cayenne;2;1;0.4021
Millet;0;0-0.05;Smooth cayenne;3;1;0.3539
