exp,iso,spp,rep,app,tot
1,11K11,Cf,1,68,100
1,11K11,Cf,2,62,100
1,11K17,Cf,1,65,100
1,11K17,Cf,2,64,100
1,12D46,Cf,1,52,100
1,12D46,Cf,2,48,100
1,12J05,Cf,1,66,100
1,12J05,Cf,2,61,100
1,12J23,Cf,1,57,100
1,12J23,Cf,2,64,100
1,12J41,Cf,1,65,100
1,12J41,Cf,2,59,100
1,3G23,Ck,1,87,100
1,3G23,Ck,2,100,100
2,11K11,Cf,1,49,100
2,11K11,Cf,2,62,100
2,11K17,Cf,1,64,100
2,11K17,Cf,2,71,100
2,12D46,Cf,1,68,100
2,12D46,Cf,2,70,100
2,12J05,Cf,1,41,100
2,12J05,Cf,2,42,100
2,12J23,Cf,1,55,100
2,12J23,Cf,2,50,100
2,12J41,Cf,1,55,100
2,12J41,Cf,2,54,100
2,3G23,Ck,1,95,100
2,3G23,Ck,2,96,100
