exp,spp,kare,len,wid,vol
1,Cf,11J41,13.89,5.12,285.9775615
1,Cf,11J41,12.41,5.51,295.9134942
1,Cf,11J41,12.41,5.24,267.6234386
1,Cf,11J41,12.35,5.41,283.890774
1,Cf,11J41,12.34,5.26,268.1491589
1,Cf,11J41,11.97,4.64,202.4043782
1,Cf,11J41,11.8,5.17,247.7153303
1,Cf,11J41,11.38,4.05,146.6027441
1,Cf,11J41,11.3,5.35,254.0246131
1,Cf,11J41,11.29,6.98,432.0107743
1,Cf,11J41,11.18,5.73,288.2974749
1,Cf,11J41,11.18,7.13,446.3860914
1,Cf,11J41,11.17,5.02,221.0804798
1,Cf,11J41,10.98,5.37,248.6799106
1,Cf,11J41,10.96,5.67,276.7365121
1,Cf,11J41,10.68,6.02,303.9863104
1,Cf,11J41,10.58,6.27,326.6709687
1,Cf,11J41,10.31,5.17,216.4360216
1,Cf,11J41,10.26,5.39,234.1071523
1,Cf,11J41,10.17,6.32,319.0398265
1,Cf,11J41,10.05,5.14,208.5365051
1,Cf,11J41,9.84,5.41,226.1931349
1,Cf,11J41,9.6,5.24,207.0253836
1,Cf,11J41,9.26,6.54,311.0686714
1,Cf,11J41,9.02,5.52,215.8611488
1,Cf,11J41,13.89,4.22,194.2750094
1,Cf,11K11,8.38,4.94,160.6155937
1,Cf,11K11,13.02,4.94,249.548333
1,Cf,11K11,10.62,5.1,216.947505
1,Cf,11K11,12.17,4.87,226.6930949
1,Cf,11K11,10.91,4.19,150.4328168
1,Cf,11K11,11.39,5.36,257.0059006
1,Cf,11K11,8.83,5.09,179.6743404
1,Cf,11K11,15.74,5.11,322.8020762
1,Cf,11K11,9.92,5.56,240.8524378
1,Cf,11K11,11.72,5.03,232.8913577
1,Cf,11K11,10.89,6.66,379.3727469
1,Cf,11K11,14.21,5.44,330.2795379
1,Cf,11K11,11.04,5.75,286.678124
1,Cf,11K11,13.39,5.03,266.0763891
1,Cf,11K11,11.35,5.19,240.1155954
1,Cf,11K11,10.7,4.87,199.3111023
1,Cf,11K11,10.3,4.46,160.9150754
1,Cf,11K11,12.26,4.55,199.3439477
1,Cf,11K11,12.7,4.01,160.3918354
1,Cf,11K11,10.67,4.82,194.6920809
1,Cf,11K11,9.09,5.01,179.1963362
1,Cf,11K11,11.04,4.35,164.073098
1,Cf,11K11,9.08,5.06,182.5898674
1,Cf,11K11,11.68,5.19,247.0969299
1,Cf,11K11,10.7,4.35,159.0201221
1,Cf,11K11,11.71,3.46,110.1029319
1,Cf,11K17,8.62,5.66,216.885201
1,Cf,11K17,11.05,4.54,178.8808191
1,Cf,11K17,11.44,5.5,271.7948319
1,Cf,11K17,10.89,3.35,95.98586541
1,Cf,11K17,12.79,4.43,197.1368387
1,Cf,11K17,11.33,4.44,175.4226394
1,Cf,11K17,10.43,4.67,178.651991
1,Cf,11K17,9.6,4.52,154.0415549
1,Cf,11K17,14.32,7,551.0980686
1,Cf,11K17,14.81,4.98,288.4719133
1,Cf,11K17,11.67,4.78,209.419173
1,Cf,11K17,9.8,5.76,255.3646827
1,Cf,11K17,9.1,4.67,155.8708646
1,Cf,11K17,10.13,4.73,178.0006212
1,Cf,11K17,12.36,5.4,283.0712622
1,Cf,11K17,11.61,4.98,226.1417227
1,Cf,11K17,12.03,4.64,203.4189365
1,Cf,11K17,10.35,4.9,195.1741519
1,Cf,11K17,9.88,3.66,103.9462692
1,Cf,11K17,9.07,4.78,162.7619451
1,Cf,11K17,8.41,5.76,219.14459
1,Cf,11K17,8.64,5.93,238.62334
1,Cf,11K17,10.6,5.43,245.4682438
1,Cf,11K17,11.81,4.43,182.0317487
1,Cf,11K17,10.83,6.31,338.6701859
1,Cf,11K17,9.7,5.3,213.9997493
