exp,spp,tim,iso,tem,rep,ger,of
1,Cf,6,11K11,10,1,1,50
1,Cf,6,11K11,10,2,0,50
1,Cf,6,11K11,10,3,0,50
1,Cf,6,11K11,15,1,6,50
1,Cf,6,11K11,15,2,8,50
1,Cf,6,11K11,15,3,7,50
1,Cf,6,11K11,20,1,23,50
1,Cf,6,11K11,20,2,17,50
1,Cf,6,11K11,20,3,16,50
1,Cf,6,11K11,25,1,16,50
1,Cf,6,11K11,25,2,23,50
1,Cf,6,11K11,25,3,20,50
1,Cf,6,11K11,30,1,23,50
1,Cf,6,11K11,30,2,15,50
1,Cf,6,11K11,30,3,28,50
1,Cf,6,11K11,35,1,0,50
1,Cf,6,11K11,35,2,0,50
1,Cf,6,11K11,35,3,0,50
1,Cf,6,11K17,10,1,0,50
1,Cf,6,11K17,10,2,0,50
1,Cf,6,11K17,10,3,0,50
1,Cf,6,11K17,15,1,6,50
1,Cf,6,11K17,15,2,7,50
1,Cf,6,11K17,15,3,7,50
1,Cf,6,11K17,20,1,12,50
1,Cf,6,11K17,20,2,14,50
1,Cf,6,11K17,20,3,13,50
1,Cf,6,11K17,25,1,10,50
1,Cf,6,11K17,25,2,16,50
1,Cf,6,11K17,25,3,13,50
1,Cf,6,11K17,30,1,26,50
1,Cf,6,11K17,30,2,24,50
1,Cf,6,11K17,30,3,25,50
1,Cf,6,11K17,35,1,0,50
1,Cf,6,11K17,35,2,0,50
1,Cf,6,11K17,35,3,1,50
1,Cf,6,12D46,10,1,0,50
1,Cf,6,12D46,10,2,0,50
1,Cf,6,12D46,10,3,0,50
1,Cf,6,12D46,15,1,11,50
1,Cf,6,12D46,15,2,6,50
1,Cf,6,12D46,15,3,8,50
1,Cf,6,12D46,20,1,27,50
1,Cf,6,12D46,20,2,27,50
1,Cf,6,12D46,20,3,27,50
1,Cf,6,12D46,25,1,17,50
1,Cf,6,12D46,25,2,21,50
1,Cf,6,12D46,25,3,27,50
1,Cf,6,12D46,30,1,36,50
1,Cf,6,12D46,30,2,30,50
1,Cf,6,12D46,30,3,34,50
1,Cf,6,12D46,35,1,0,50
1,Cf,6,12D46,35,2,1,50
1,Cf,6,12D46,35,3,0,50
1,Cf,6,12J05,10,1,0,50
1,Cf,6,12J05,10,2,0,50
1,Cf,6,12J05,10,3,0,50
1,Cf,6,12J05,15,1,36,50
1,Cf,6,12J05,15,2,38,50
1,Cf,6,12J05,15,3,37,50
1,Cf,6,12J05,20,1,39,50
1,Cf,6,12J05,20,2,41,50
1,Cf,6,12J05,20,3,40,50
1,Cf,6,12J05,25,1,37,50
1,Cf,6,12J05,25,2,36,50
1,Cf,6,12J05,25,3,40,50
1,Cf,6,12J05,30,1,40,50
1,Cf,6,12J05,30,2,45,50
1,Cf,6,12J05,30,3,44,50
1,Cf,6,12J05,35,1,8,50
1,Cf,6,12J05,35,2,10,50
1,Cf,6,12J05,35,3,10,50
1,Cf,6,11J23,10,1,0,50
1,Cf,6,11J23,10,2,1,50
1,Cf,6,11J23,10,3,0,50
1,Cf,6,11J23,15,1,28,50
1,Cf,6,11J23,15,2,27,50
1,Cf,6,11J23,15,3,25,50
1,Cf,6,11J23,20,1,38,50
1,Cf,6,11J23,20,2,37,50
1,Cf,6,11J23,20,3,39,50
1,Cf,6,11J23,25,1,40,50
1,Cf,6,11J23,25,2,41,50
1,Cf,6,11J23,25,3,39,50
