exp,spp,iso,rep,tem,day,mm1,mm2
1,Cf,11K11,1,10,1,4.3,5.1
1,Cf,11K11,2,10,1,4.02,4.66
1,Cf,11K11,3,10,1,4.55,4.7
1,Cf,11K17,1,10,1,4.45,4.41
1,Cf,11K17,2,10,1,4,4
1,Cf,11K17,3,10,1,4,4
1,Cf,11J23,1,10,1,4.33,4.39
1,Cf,11J23,2,10,1,3.95,4.89
1,Cf,11J23,3,10,1,4.15,4.7
1,Cf,12D46,1,10,1,4.17,4.39
1,Cf,12D46,2,10,1,4.4,4.49
1,Cf,12D46,3,10,1,4.76,4.32
1,Cf,12J05,1,10,1,4.19,4.49
1,Cf,12J05,2,10,1,4,4.16
1,Cf,12J05,3,10,1,4.27,4.42
1,Cf,12J41,1,10,1,4.91,4.68
1,Cf,12J41,2,10,1,4.35,4.66
1,Cf,12J41,3,10,1,4.72,4.97
1,Cf,11K11,1,15,1,5,5.57
1,Cf,11K11,2,15,1,5.21,4.25
1,Cf,11K11,3,15,1,4.96,5.11
1,Cf,11K17,1,15,1,5.12,5.29
1,Cf,11K17,2,15,1,5.18,5.04
1,Cf,11K17,3,15,1,4.62,5.07
1,Cf,11J23,1,15,1,5.08,5.53
1,Cf,11J23,2,15,1,5,4.97
1,Cf,11J23,3,15,1,4.81,4.98
1,Cf,12D46,1,15,1,4.71,4.98
1,Cf,12D46,2,15,1,4.85,4.97
1,Cf,12D46,3,15,1,4.7,4.85
1,Cf,12J05,1,15,1,4.74,4.92
1,Cf,12J05,2,15,1,4.83,4.7
1,Cf,12J05,3,15,1,5.83,4.89
1,Cf,12J41,1,15,1,5.23,4.14
1,Cf,12J41,2,15,1,5.05,4.83
1,Cf,12J41,3,15,1,5.02,5.21
1,Cf,11K11,1,20,1,5.33,5.23
1,Cf,11K11,2,20,1,5.95,5.16
1,Cf,11K11,3,20,1,5.97,5.28
1,Cf,11K17,1,20,1,5.79,5.62
1,Cf,11K17,2,20,1,4.99,5.11
1,Cf,11K17,3,20,1,4.61,4.96
1,Cf,11J23,1,20,1,6.48,5.65
1,Cf,11J23,2,20,1,5.39,5.82
1,Cf,11J23,3,20,1,5.61,5.23
1,Cf,12D46,1,20,1,5.57,5.3
1,Cf,12D46,2,20,1,5.04,5.6
1,Cf,12D46,3,20,1,4.71,5.05
1,Cf,12J05,1,20,1,4.75,4.47
1,Cf,12J05,2,20,1,4.5,4.8
1,Cf,12J05,3,20,1,4.9,5.08
1,Cf,12J41,1,20,1,4.82,4.45
1,Cf,12J41,2,20,1,4.51,5.11
1,Cf,12J41,3,20,1,4.59,5.09
1,Cf,11K11,1,25,1,6.55,5.76
1,Cf,11K11,2,25,1,7.03,6.17
1,Cf,11K11,3,25,1,6.96,6.18
1,Cf,11K17,1,25,1,7.89,7.87
1,Cf,11K17,2,25,1,7.78,6.67
1,Cf,11K17,3,25,1,8.42,8.53
1,Cf,11J23,1,25,1,7.72,6.41
1,Cf,11J23,2,25,1,7.68,7.48
1,Cf,11J23,3,25,1,8.12,7.62
1,Cf,12D46,1,25,1,6.18,6.34
1,Cf,12D46,2,25,1,7.1,6.26
1,Cf,12D46,3,25,1,6.47,6.72
1,Cf,12J05,1,25,1,6.75,6.78
1,Cf,12J05,2,25,1,6.46,6.4
1,Cf,12J05,3,25,1,6.19,6.93
1,Cf,12J41,1,25,1,5.74,5.94
1,Cf,12J41,2,25,1,6.53,6.96
1,Cf,12J41,3,25,1,5.79,5.62
1,Cf,11K11,1,30,1,5.71,6
1,Cf,11K11,2,30,1,6.32,6.15
1,Cf,11K11,3,30,1,6.17,5.62
1,Cf,11K17,1,30,1,6.63,6.64
1,Cf,11K17,2,30,1,7.21,6.68
1,Cf,11K17,3,30,1,7.12,7.36
1,Cf,11J23,1,30,1,6.93,6.6
1,Cf,11J23,2,30,1,6.62,7.19
1,Cf,11J23,3,30,1,7.4,6.5
1,Cf,12D46,1,30,1,6.47,5.83
1,Cf,12D46,2,30,1,6.47,5.95
1,Cf,12D46,3,30,1,6.44,6.61
1,Cf,12J05,1,30,1,6.45,6.23
1,Cf,12J05,2,30,1,6.1,6.93
1,Cf,12J05,3,30,1,6.83,6.37
1,Cf,12J41,1,30,1,8.05,7.1
1,Cf,12J41,2,30,1,6.12,6.47
1,Cf,12J41,3,30,1,5.99,6.42
1,Cf,11K11,1,35,1,4,4
1,Cf,11K11,2,35,1,4,4
1,Cf,11K11,3,35,1,4,4
1,Cf,11K17,1,35,1,4,4
1,Cf,11K17,2,35,1,4,4
1,Cf,11K17,3,35,1,4,4
1,Cf,11J23,1,35,1,4,4
1,Cf,11J23,2,35,1,4,4
1,Cf,11J23,3,35,1,4,4
1,Cf,12D46,1,35,1,4,4
1,Cf,12D46,2,35,1,4,4
1,Cf,12D46,3,35,1,4,4
1,Cf,12J05,1,35,1,4,4
1,Cf,12J05,2,35,1,4,4
1,Cf,12J05,3,35,1,4,4
1,Cf,12J41,1,35,1,4,4
1,Cf,12J41,2,35,1,4,4
1,Cf,12J41,3,35,1,4,4
1,Cf,11K11,1,10,2,5.17,5.3
1,Cf,11K11,2,10,2,5.27,5.38
1,Cf,11K11,3,10,2,5.69,5.72
1,Cf,11K17,1,10,2,5.48,5.76
1,Cf,11K17,2,10,2,4.98,5.04
1,Cf,11K17,3,10,2,5.21,5.1
1,Cf,11J23,1,10,2,5.43,5.36
