exp,spp,tem,iso,rep,spo,index,slice,nsq
1,Cf,20,11K11,1,0,10000,1.963,64
1,Cf,20,11K11,2,0,10000,1.963,64
1,Cf,20,11K11,3,0,10000,1.963,64
1,Cf,25,11K11,1,10,10000,1.963,64
1,Cf,25,11K11,2,5,10000,1.963,64
1,Cf,25,11K11,3,20,10000,1.963,64
1,Cf,30,11K11,1,290,160000,1.963,16
1,Cf,30,11K11,2,139,160000,1.963,16
1,Cf,30,11K11,3,856,160000,1.963,16
1,Cf,20,11K17,1,1,10000,1.963,64
1,Cf,20,11K17,2,1,10000,1.963,64
1,Cf,20,11K17,3,1,10000,1.963,64
1,Cf,25,11K17,1,13,10000,1.963,64
1,Cf,25,11K17,2,904,160000,1.963,16
1,Cf,25,11K17,3,7,10000,1.963,64
1,Cf,30,11K17,1,1736,160000,1.963,16
1,Cf,30,11K17,2,1108,160000,1.963,16
1,Cf,30,11K17,3,1270,160000,1.963,16
1,Cf,20,11J23,1,1,10000,1.963,64
1,Cf,20,11J23,2,1,10000,1.963,64
1,Cf,20,11J23,3,0,10000,1.963,64
1,Cf,25,11J23,1,2,10000,1.963,64
1,Cf,25,11J23,2,8,10000,1.963,64
1,Cf,25,11J23,3,2,10000,1.963,64
1,Cf,30,11J23,1,848,160000,1.963,16
1,Cf,30,11J23,2,1372,160000,1.963,16
1,Cf,30,11J23,3,1394,160000,1.963,16
1,Cf,20,12D46,1,0,10000,1.963,64
1,Cf,20,12D46,2,0,10000,1.963,64
1,Cf,20,12D46,3,0,10000,1.963,64
1,Cf,25,12D46,1,11,10000,1.963,64
1,Cf,25,12D46,2,1,10000,1.963,64
1,Cf,25,12D46,3,9,10000,1.963,64
1,Cf,30,12D46,1,794,160000,1.963,16
1,Cf,30,12D46,2,1134,160000,1.963,16
1,Cf,30,12D46,3,216,160000,1.963,16
1,Cf,20,12J05,1,0,10000,1.963,64
1,Cf,20,12J05,2,0,10000,1.963,64
1,Cf,20,12J05,3,7,10000,1.963,64
1,Cf,25,12J05,1,1,10000,1.963,64
1,Cf,25,12J05,2,460,160000,1.963,16
1,Cf,25,12J05,3,15,10000,1.963,64
1,Cf,30,12J05,1,1540,160000,1.963,16
1,Cf,30,12J05,2,1050,160000,1.963,16
1,Cf,30,12J05,3,1064,160000,1.963,16
1,Cf,20,12J41,1,47,10000,1.963,64
1,Cf,20,12J41,2,0,10000,1.963,64
1,Cf,20,12J41,3,0,10000,1.963,64
1,Cf,25,12J41,1,1,10000,1.963,64
1,Cf,25,12J41,2,0,10000,1.963,64
1,Cf,25,12J41,3,170,160000,1.963,16
1,Cf,30,12J41,1,788,160000,1.963,16
1,Cf,30,12J41,2,452,160000,1.963,16
1,Cf,30,12J41,3,764,160000,1.963,16
1,Ck,20,3G23,1,32,10000,0.981,64
1,Ck,20,3G23,2,90,160000,0.981,16
1,Ck,20,3G23,3,97,160000,0.981,16
1,Ck,25,3G23,1,242,160000,0.981,16
1,Ck,25,3G23,2,49,160000,0.981,16
1,Ck,25,3G23,3,193,160000,0.981,16
1,Ck,30,3G23,1,182,160000,0.981,16
1,Ck,30,3G23,2,221,160000,0.981,16
1,Ck,30,3G23,3,359,160000,0.981,16
2,Cf,20,11K11,1,4,10000,1.963,64
2,Cf,20,11K11,2,2,10000,1.963,64
2,Cf,20,11K11,3,0,10000,1.963,64
2,Cf,25,11K11,1,4,10000,1.963,64
2,Cf,25,11K11,2,10,10000,1.963,64
2,Cf,25,11K11,3,10,10000,1.963,64
2,Cf,30,11K11,1,72,10000,0.981,64
2,Cf,30,11K11,2,58,10000,0.981,64
2,Cf,30,11K11,3,76,10000,0.981,64
2,Cf,20,11K17,1,0,10000,1.963,64
2,Cf,20,11K17,2,0,10000,1.963,64
2,Cf,20,11K17,3,2,10000,1.963,64
2,Cf,25,11K17,1,0,10000,1.963,64
2,Cf,25,11K17,2,8,10000,1.963,64
2,Cf,25,11K17,3,6,10000,1.963,64
2,Cf,30,11K17,1,36,10000,0.981,64
2,Cf,30,11K17,2,54,10000,0.981,64
2,Cf,30,11K17,3,32,10000,0.981,64
2,Cf,20,11J23,1,12,10000,1.963,64
2,Cf,20,11J23,2,0,10000,1.963,64
2,Cf,20,11J23,3,2,10000,1.963,64
2,Cf,25,11J23,1,88,10000,1.963,64
2,Cf,25,11J23,2,4,10000,1.963,64
2,Cf,25,11J23,3,4,10000,1.963,64
2,Cf,30,11J23,1,64,10000,0.981,64
2,Cf,30,11J23,2,28,10000,0.981,64
2,Cf,30,11J23,3,117,160000,0.981,16
2,Cf,20,12D46,1,0,10000,1.963,64
2,Cf,20,12D46,2,2,10000,1.963,64
2,Cf,20,12D46,3,0,10000,1.963,64
2,Cf,25,12D46,1,6,10000,1.963,64
2,Cf,25,12D46,2,0,10000,1.963,64
2,Cf,25,12D46,3,6,10000,1.963,64
2,Cf,30,12D46,1,34,10000,0.981,64
2,Cf,30,12D46,2,34,10000,0.981,64
2,Cf,30,12D46,3,18,10000,0.981,64
2,Cf,20,12J05,1,0,10000,1.963,64
2,Cf,20,12J05,2,0,10000,1.963,64
2,Cf,20,12J05,3,0,10000,1.963,64
2,Cf,25,12J05,1,2,10000,1.963,64
2,Cf,25,12J05,2,2,10000,1.963,64
2,Cf,25,12J05,3,0,10000,1.963,64
2,Cf,30,12J05,1,38,10000,0.981,64
2,Cf,30,12J05,2,14,10000,0.981,64
2,Cf,30,12J05,3,10,10000,0.981,64
2,Cf,20,12J41,1,6,10000,1.963,64
2,Cf,20,12J41,2,0,10000,1.963,64
2,Cf,20,12J41,3,4,10000,1.963,64
2,Cf,25,12J41,1,2,10000,1.963,64
2,Cf,25,12J41,2,0,10000,1.963,64
2,Cf,25,12J41,3,4,10000,1.963,64
2,Cf,30,12J41,1,462,160000,0.981,16
2,Cf,30,12J41,2,155,160000,0.981,16
2,Cf,30,12J41,3,177,160000,0.981,16
2,Ck,20,3G23,1,4,10000,0.981,64
2,Ck,20,3G23,2,33,10000,0.981,64
2,Ck,20,3G23,3,24,160000,0.981,16
2,Ck,25,3G23,1,171,160000,0.981,16
2,Ck,25,3G23,2,72,10000,0.981,64
2,Ck,25,3G23,3,166,10000,0.981,64
2,Ck,30,3G23,1,139,160000,0.981,16
2,Ck,30,3G23,2,70,160000,0.981,16
2,Ck,30,3G23,3,113,160000,0.981,16
3,Cf,20,11K11,1,25,160000,0.981,16
3,Cf,20,11K11,2,2,10000,0.981,64
3,Cf,20,11K11,3,2,10000,0.981,64
3,Cf,25,11K11,1,2,10000,0.981,64
3,Cf,25,11K11,2,2,10000,0.981,64
3,Cf,25,11K11,3,4,10000,0.981,64
3,Cf,30,11K11,1,143,160000,0.981,16
3,Cf,30,11K11,2,17,10000,0.981,64
3,Cf,30,11K11,3,19,10000,0.981,64
3,Cf,20,11K17,1,36,10000,0.981,64
3,Cf,20,11K17,2,1,10000,0.981,64
3,Cf,20,11K17,3,0,10000,0.981,64
3,Cf,25,11K17,1,0,10000,0.981,64
3,Cf,25,11K17,2,2,10000,0.981,64
3,Cf,25,11K17,3,1,10000,0.981,64
3,Cf,30,11K17,1,240,10000,0.981,64
3,Cf,30,11K17,2,251,10000,0.981,64
3,Cf,30,11K17,3,102,10000,0.981,64
3,Cf,20,11J23,1,0,10000,0.981,64
3,Cf,20,11J23,2,2,10000,0.981,64
3,Cf,20,11J23,3,1,10000,0.981,64
3,Cf,25,11J23,1,0,10000,0.981,64
3,Cf,25,11J23,2,2,10000,0.981,64
3,Cf,25,11J23,3,0,10000,0.981,64
3,Cf,30,11J23,1,77,10000,0.981,64
3,Cf,30,11J23,2,56,10000,0.981,64
3,Cf,30,11J23,3,82,10000,0.981,64
3,Cf,20,12D46,1,0,10000,0.981,64
3,Cf,20,12D46,2,1,10000,0.981,64
3,Cf,20,12D46,3,0,10000,0.981,64
3,Cf,25,12D46,1,0,10000,0.981,64
3,Cf,25,12D46,2,0,10000,0.981,64
3,Cf,25,12D46,3,0,10000,0.981,64
3,Cf,30,12D46,1,107,10000,0.981,64
3,Cf,30,12D46,2,22,10000,0.981,64
3,Cf,30,12D46,3,31,160000,0.981,16
3,Cf,20,12J05,1,3,10000,0.981,64
3,Cf,20,12J05,2,0,10000,0.981,64
3,Cf,20,12J05,3,1,10000,0.981,64
3,Cf,25,12J05,1,0,10000,0.981,64
3,Cf,25,12J05,2,2,10000,0.981,64
3,Cf,25,12J05,3,1,10000,0.981,64
3,Cf,30,12J05,1,174,10000,0.981,64
3,Cf,30,12J05,2,97,10000,0.981,64
3,Cf,30,12J05,3,55,160000,0.981,16
3,Cf,20,12J41,1,2,10000,0.981,64
3,Cf,20,12J41,2,0,10000,0.981,64
3,Cf,20,12J41,3,0,10000,0.981,64
3,Cf,25,12J41,1,10,10000,0.981,64
3,Cf,25,12J41,2,33,160000,0.981,16
3,Cf,25,12J41,3,41,10000,0.981,64
3,Cf,30,12J41,1,240,10000,0.981,64
3,Cf,30,12J41,2,70,160000,0.981,16
3,Cf,30,12J41,3,240,10000,0.981,64
3,Ck,20,3G23,1,2,10000,0.981,64
3,Ck,20,3G23,2,33,10000,0.981,64
3,Ck,20,3G23,3,24,160000,0.981,16
3,Ck,25,3G23,1,149,10000,0.981,64
3,Ck,25,3G23,2,96,10000,0.981,64
3,Ck,25,3G23,3,123,10000,0.981,64
3,Ck,30,3G23,1,57,10000,0.981,64
3,Ck,30,3G23,2,38,10000,0.981,64
3,Ck,30,3G23,3,43,10000,0.981,64
