exp,tem,cv,cri,lea,spp,iso,day,mm1,mm2
1,20,Red Aleppo,1,1,Cf,11K11,3,400,400
1,20,Red Aleppo,1,2,Cf,11K11,3,617,400
1,20,Red Aleppo,1,3,Cf,11K11,3,505,566
1,20,Red Aleppo,1,4,Cf,11K11,3,400,400
1,20,Red Aleppo,1,5,Cf,11K11,3,586,548
1,20,Red Aleppo,1,6,Cf,11K11,3,416,483
1,20,Red Aleppo,1,7,Cf,11K11,3,400,400
1,20,Red Aleppo,1,8,Cf,11K11,3,400,400
1,20,Red Aleppo,1,9,Cf,11K11,3,400,400
1,20,Red Aleppo,1,10,Cf,11K11,3,400,400
1,20,Red Aleppo,2,11,Cf,11K11,3,400,400
1,20,Red Aleppo,2,12,Cf,11K11,3,491,400
1,20,Red Aleppo,2,13,Cf,11K11,3,449,400
1,20,Red Aleppo,2,14,Cf,11K11,3,528,490
1,20,Red Aleppo,2,15,Cf,11K11,3,508,507
1,20,Red Aleppo,2,16,Cf,11K11,3,400,400
1,20,Red Aleppo,2,17,Cf,11K11,3,400,400
1,20,Red Aleppo,2,18,Cf,11K11,3,444,400
1,20,Red Aleppo,2,19,Cf,11K11,3,451,411
1,20,Red Aleppo,2,20,Cf,11K11,3,448,485
1,20,Red Aleppo,3,21,Cf,11K11,3,495,440
1,20,Red Aleppo,3,22,Cf,11K11,3,546,557
1,20,Red Aleppo,3,23,Cf,11K11,3,640,507
1,20,Red Aleppo,3,24,Cf,11K11,3,400,400
1,20,Red Aleppo,3,25,Cf,11K11,3,612,686
1,20,Red Aleppo,3,26,Cf,11K11,3,694,617
1,20,Red Aleppo,3,27,Cf,11K11,3,529,400
1,20,Red Aleppo,3,28,Cf,11K11,3,408,482
1,20,Red Aleppo,3,29,Cf,11K11,3,400,400
1,20,Red Aleppo,3,30,Cf,11K11,3,483,415
1,20,Kerman,1,1,Cf,11K11,3,400,400
1,20,Kerman,1,2,Cf,11K11,3,434,472
1,20,Kerman,1,3,Cf,11K11,3,533,473
1,20,Kerman,1,4,Cf,11K11,3,400,400
1,20,Kerman,1,5,Cf,11K11,3,400,400
1,20,Kerman,1,6,Cf,11K11,3,400,400
1,20,Kerman,1,7,Cf,11K11,3,400,400
1,20,Kerman,1,8,Cf,11K11,3,400,400
1,20,Kerman,1,9,Cf,11K11,3,400,400
1,20,Kerman,1,10,Cf,11K11,3,478,412
1,20,Kerman,2,11,Cf,11K11,3,400,400
1,20,Kerman,2,12,Cf,11K11,3,474,451
1,20,Kerman,2,13,Cf,11K11,3,638,540
1,20,Kerman,2,14,Cf,11K11,3,560,572
1,20,Kerman,2,15,Cf,11K11,3,571,489
1,20,Kerman,2,16,Cf,11K11,3,548,1072
1,20,Kerman,2,17,Cf,11K11,3,785,887
1,20,Kerman,2,18,Cf,11K11,3,612,673
1,20,Kerman,2,19,Cf,11K11,3,609,609
1,20,Kerman,2,20,Cf,11K11,3,632,595
1,20,Kerman,3,21,Cf,11K11,3,400,400
1,20,Kerman,3,22,Cf,11K11,3,400,400
1,20,Kerman,3,23,Cf,11K11,3,400,400
1,20,Kerman,3,24,Cf,11K11,3,400,400
1,20,Kerman,3,25,Cf,11K11,3,400,400
1,20,Kerman,3,26,Cf,11K11,3,400,400
1,20,Kerman,3,27,Cf,11K11,3,400,400
1,20,Kerman,3,28,Cf,11K11,3,564,562
1,20,Kerman,3,29,Cf,11K11,3,400,400
1,20,Kerman,3,30,Cf,11K11,3,510,472
1,20,Red Aleppo,1,1,Ck,3G23,3,400,400
1,20,Red Aleppo,1,2,Ck,3G23,3,400,400
1,20,Red Aleppo,1,3,Ck,3G23,3,400,400
1,20,Red Aleppo,1,4,Ck,3G23,3,400,400
1,20,Red Aleppo,1,5,Ck,3G23,3,400,400
1,20,Red Aleppo,1,6,Ck,3G23,3,400,400
1,20,Red Aleppo,1,7,Ck,3G23,3,400,400
1,20,Red Aleppo,1,8,Ck,3G23,3,400,400
1,20,Red Aleppo,1,9,Ck,3G23,3,400,400
1,20,Red Aleppo,1,10,Ck,3G23,3,839,644
1,20,Red Aleppo,2,11,Ck,3G23,3,400,400
1,20,Red Aleppo,2,12,Ck,3G23,3,400,400
1,20,Red Aleppo,2,13,Ck,3G23,3,400,400
1,20,Red Aleppo,2,14,Ck,3G23,3,400,400
1,20,Red Aleppo,2,15,Ck,3G23,3,400,400
1,20,Red Aleppo,2,16,Ck,3G23,3,400,400
1,20,Red Aleppo,2,17,Ck,3G23,3,400,400
1,20,Red Aleppo,2,18,Ck,3G23,3,400,400
1,20,Red Aleppo,2,19,Ck,3G23,3,400,400
1,20,Red Aleppo,2,20,Ck,3G23,3,400,400
1,20,Red Aleppo,3,21,Ck,3G23,3,400,400
1,20,Red Aleppo,3,22,Ck,3G23,3,613,486
1,20,Red Aleppo,3,23,Ck,3G23,3,400,400
1,20,Red Aleppo,3,24,Ck,3G23,3,400,400
1,20,Red Aleppo,3,25,Ck,3G23,3,400,400
1,20,Red Aleppo,3,26,Ck,3G23,3,400,400
1,20,Red Aleppo,3,27,Ck,3G23,3,400,400
1,20,Red Aleppo,3,28,Ck,3G23,3,400,400
1,20,Red Aleppo,3,29,Ck,3G23,3,400,400
1,20,Red Aleppo,3,30,Ck,3G23,3,400,400
1,20,Kerman,1,1,Ck,3G23,3,637,553
1,20,Kerman,1,2,Ck,3G23,3,491,439
1,20,Kerman,1,3,Ck,3G23,3,400,400
1,20,Kerman,1,4,Ck,3G23,3,400,400
1,20,Kerman,1,5,Ck,3G23,3,479,430
1,20,Kerman,1,6,Ck,3G23,3,475,529
1,20,Kerman,1,7,Ck,3G23,3,400,400
1,20,Kerman,1,8,Ck,3G23,3,424,424
1,20,Kerman,1,9,Ck,3G23,3,400,400
1,20,Kerman,1,10,Ck,3G23,3,435,417
1,20,Kerman,2,11,Ck,3G23,3,400,400
1,20,Kerman,2,12,Ck,3G23,3,712,542
1,20,Kerman,2,13,Ck,3G23,3,400,400
1,20,Kerman,2,14,Ck,3G23,3,400,400
1,20,Kerman,2,15,Ck,3G23,3,400,400
1,20,Kerman,2,16,Ck,3G23,3,400,400
1,20,Kerman,2,17,Ck,3G23,3,400,400
1,20,Kerman,2,18,Ck,3G23,3,400,400
1,20,Kerman,2,19,Ck,3G23,3,400,400
1,20,Kerman,2,20,Ck,3G23,3,400,400
1,20,Kerman,3,21,Ck,3G23,3,489,442
1,20,Kerman,3,22,Ck,3G23,3,400,434
1,20,Kerman,3,23,Ck,3G23,3,431,409
1,20,Kerman,3,24,Ck,3G23,3,400,400
1,20,Kerman,3,25,Ck,3G23,3,606,547
1,20,Kerman,3,26,Ck,3G23,3,952,761
1,20,Kerman,3,27,Ck,3G23,3,445,400
1,20,Kerman,3,28,Ck,3G23,3,548,668
1,20,Kerman,3,29,Ck,3G23,3,400,456
1,20,Kerman,3,30,Ck,3G23,3,400,400
1,25,Red Aleppo,1,1,Cf,11K11,3,800,767
1,25,Red Aleppo,1,2,Cf,11K11,3,975,953
1,25,Red Aleppo,1,3,Cf,11K11,3,851,842
1,25,Red Aleppo,1,4,Cf,11K11,3,729,689
1,25,Red Aleppo,1,5,Cf,11K11,3,692,622
1,25,Red Aleppo,1,6,Cf,11K11,3,927,834
1,25,Red Aleppo,1,7,Cf,11K11,3,1025,967
1,25,Red Aleppo,1,8,Cf,11K11,3,1036,1023
1,25,Red Aleppo,1,9,Cf,11K11,3,1088,867
