yr,mo,cv,spp,fla,arb,clu,bli,hea,tot
2017,June,Red Aleppo,Cf,B,1,1,13,33,46
2017,June,Red Aleppo,Cf,B,1,2,6,31,37
2017,June,Red Aleppo,Cf,B,1,3,19,56,75
2017,June,Red Aleppo,Cf,B,1,4,3,11,14
2017,June,Red Aleppo,Cf,B,1,5,4,16,20
2017,June,Red Aleppo,Cf,B,1,6,11,28,39
2017,June,Red Aleppo,Cf,B,1,7,5,45,50
2017,June,Red Aleppo,Cf,B,1,8,10,24,34
2017,June,Red Aleppo,Cf,B,1,9,1,18,19
2017,June,Red Aleppo,Cf,B,1,10,7,42,49
2017,June,Red Aleppo,Cf,B,2,1,23,88,111
2017,June,Red Aleppo,Cf,B,2,2,NA,NA,NA
2017,June,Red Aleppo,Cf,B,2,3,11,57,68
2017,June,Red Aleppo,Cf,B,2,4,7,11,18
2017,June,Red Aleppo,Cf,B,2,5,4,12,16
2017,June,Red Aleppo,Cf,B,2,6,7,15,22
2017,June,Red Aleppo,Cf,B,2,7,10,24,34
2017,June,Red Aleppo,Cf,B,2,8,34,64,98
2017,June,Red Aleppo,Cf,B,2,9,6,60,66
2017,June,Red Aleppo,Cf,B,2,10,5,11,16
2017,June,Red Aleppo,Cf,B,3,1,4,9,13
2017,June,Red Aleppo,Cf,B,3,2,5,31,36
2017,June,Red Aleppo,Cf,B,3,3,20,59,79
2017,June,Red Aleppo,Cf,B,3,4,2,24,26
2017,June,Red Aleppo,Cf,B,3,5,5,26,31
2017,June,Red Aleppo,Cf,B,3,6,17,41,58
2017,June,Red Aleppo,Cf,B,3,7,19,98,117
2017,June,Red Aleppo,Cf,B,3,8,3,11,14
2017,June,Red Aleppo,Cf,B,3,9,3,7,10
2017,June,Red Aleppo,Cf,B,3,10,NA,NA,NA
2017,June,Red Aleppo,Ck,R,1,1,13,70,83
2017,June,Red Aleppo,Ck,R,1,2,16,66,82
2017,June,Red Aleppo,Ck,R,1,3,14,41,55
2017,June,Red Aleppo,Ck,R,1,4,7,57,64
2017,June,Red Aleppo,Ck,R,1,5,11,97,108
2017,June,Red Aleppo,Ck,R,1,6,22,50,72
2017,June,Red Aleppo,Ck,R,1,7,5,16,21
2017,June,Red Aleppo,Ck,R,1,8,NA,NA,NA
2017,June,Red Aleppo,Ck,R,1,9,7,18,25
2017,June,Red Aleppo,Ck,R,1,10,22,53,75
2017,June,Red Aleppo,Ck,R,2,1,18,58,76
2017,June,Red Aleppo,Ck,R,2,2,18,63,81
