safra;dia;folha;nitro;lado;poda;bloco;sever
1;0;1;0;1;1;I;0
1;14;1;0;1;1;I;0
1;21;1;0;1;1;I;0.05
1;28;1;0;1;1;I;0.1
1;35;1;0;1;1;I;0.9
1;42;1;0;1;1;I;0.35
1;49;1;0;1;1;I;NA
1;56;1;0;1;1;I;NA
1;63;1;0;1;1;I;NA
1;70;1;0;1;1;I;NA
1;77;1;0;1;1;I;NA
1;84;1;0;1;1;I;NA
1;0;2;0;1;1;I;0
1;14;2;0;1;1;I;0.02
1;21;2;0;1;1;I;0.04
1;28;2;0;1;1;I;0.09
1;35;2;0;1;1;I;0.3
1;42;2;0;1;1;I;0.3
1;49;2;0;1;1;I;NA
1;56;2;0;1;1;I;NA
1;63;2;0;1;1;I;NA
1;70;2;0;1;1;I;NA
1;77;2;0;1;1;I;NA
1;84;2;0;1;1;I;NA
1;0;3;0;1;1;I;0
1;14;3;0;1;1;I;0
1;21;3;0;1;1;I;0
1;28;3;0;1;1;I;0
1;35;3;0;1;1;I;0.28
1;42;3;0;1;1;I;0.2
1;49;3;0;1;1;I;NA
1;56;3;0;1;1;I;NA
1;63;3;0;1;1;I;NA
1;70;3;0;1;1;I;NA
1;77;3;0;1;1;I;NA
1;84;3;0;1;1;I;NA
1;0;4;0;1;1;I;0
1;14;4;0;1;1;I;0.04
1;21;4;0;1;1;I;0.01
1;28;4;0;1;1;I;0.09
1;35;4;0;1;1;I;0.18
1;42;4;0;1;1;I;0.19
1;49;4;0;1;1;I;NA
1;56;4;0;1;1;I;NA
1;63;4;0;1;1;I;NA
1;70;4;0;1;1;I;NA
1;77;4;0;1;1;I;NA
1;84;4;0;1;1;I;NA
1;0;5;0;1;1;I;0
1;14;5;0;1;1;I;0
1;21;5;0;1;1;I;0
1;28;5;0;1;1;I;0
1;35;5;0;1;1;I;0
1;42;5;0;1;1;I;0
1;49;5;0;1;1;I;0
1;56;5;0;1;1;I;0
1;63;5;0;1;1;I;0.07
1;70;5;0;1;1;I;0.2
1;77;5;0;1;1;I;0.3
1;84;5;0;1;1;I;1.8
1;0;6;0;1;1;I;0
1;14;6;0;1;1;I;0
1;21;6;0;1;1;I;0.05
1;28;6;0;1;1;I;0.06
1;35;6;0;1;1;I;0.9
1;42;6;0;1;1;I;0.3
1;49;6;0;1;1;I;0.4
1;56;6;0;1;1;I;0.3
1;63;6;0;1;1;I;NA
1;70;6;0;1;1;I;NA
1;77;6;0;1;1;I;NA
1;84;6;0;1;1;I;NA
1;0;7;0;1;1;I;0
1;14;7;0;1;1;I;0
1;21;7;0;1;1;I;0
1;28;7;0;1;1;I;0
1;35;7;0;1;1;I;0.07
1;42;7;0;1;1;I;0.3
1;49;7;0;1;1;I;0.2
1;56;7;0;1;1;I;0.3
1;63;7;0;1;1;I;0.5
1;70;7;0;1;1;I;0.3
1;77;7;0;1;1;I;0.5
1;84;7;0;1;1;I;2.5
1;0;8;0;1;1;I;0
1;14;8;0;1;1;I;0
1;21;8;0;1;1;I;0
1;28;8;0;1;1;I;0
1;35;8;0;1;1;I;0.3
1;42;8;0;1;1;I;0.28
1;49;8;0;1;1;I;0.4
1;56;8;0;1;1;I;NA
1;63;8;0;1;1;I;NA
1;70;8;0;1;1;I;NA
1;77;8;0;1;1;I;NA
1;84;8;0;1;1;I;NA
1;0;9;0;1;1;I;0
1;14;9;0;1;1;I;0
1;21;9;0;1;1;I;0
1;28;9;0;1;1;I;0.06
1;35;9;0;1;1;I;1.1
1;42;9;0;1;1;I;0.6
1;49;9;0;1;1;I;0.7
1;56;9;0;1;1;I;3
1;63;9;0;1;1;I;3
1;70;9;0;1;1;I;NA
1;77;9;0;1;1;I;NA
1;84;9;0;1;1;I;NA
1;0;10;0;1;1;I;0
1;14;10;0;1;1;I;0
1;21;10;0;1;1;I;0.02
1;28;10;0;1;1;I;0.4
1;35;10;0;1;1;I;0.9
1;42;10;0;1;1;I;0.8
1;49;10;0;1;1;I;1.8
1;56;10;0;1;1;I;NA
1;63;10;0;1;1;I;NA
1;70;10;0;1;1;I;NA
1;77;10;0;1;1;I;NA
1;84;10;0;1;1;I;NA
1;0;11;0;2;1;I;0
1;14;11;0;2;1;I;0.04
1;21;11;0;2;1;I;0.06
1;28;11;0;2;1;I;0.09
1;35;11;0;2;1;I;0.1
1;42;11;0;2;1;I;0.28
1;49;11;0;2;1;I;0.17
1;56;11;0;2;1;I;0.5
1;63;11;0;2;1;I;1
1;70;11;0;2;1;I;NA
1;77;11;0;2;1;I;NA
1;84;11;0;2;1;I;NA
1;0;12;0;2;1;I;0
1;14;12;0;2;1;I;0
1;21;12;0;2;1;I;0
1;28;12;0;2;1;I;0
1;35;12;0;2;1;I;0
1;42;12;0;2;1;I;0.19
1;49;12;0;2;1;I;0.19
1;56;12;0;2;1;I;0.3
1;63;12;0;2;1;I;NA
1;70;12;0;2;1;I;NA
1;77;12;0;2;1;I;NA
1;84;12;0;2;1;I;NA
1;0;13;0;2;1;I;0
1;14;13;0;2;1;I;0
1;21;13;0;2;1;I;0
1;28;13;0;2;1;I;0
1;35;13;0;2;1;I;0
1;42;13;0;2;1;I;0
1;49;13;0;2;1;I;0.09
1;56;13;0;2;1;I;0.1
1;63;13;0;2;1;I;0.3
1;70;13;0;2;1;I;0.8
1;77;13;0;2;1;I;NA
1;84;13;0;2;1;I;NA
1;0;14;0;2;1;I;0
1;14;14;0;2;1;I;0
1;21;14;0;2;1;I;0
1;28;14;0;2;1;I;0
1;35;14;0;2;1;I;0
1;42;14;0;2;1;I;0.04
1;49;14;0;2;1;I;0.1
1;56;14;0;2;1;I;0.19
1;63;14;0;2;1;I;0.2
1;70;14;0;2;1;I;0.7
1;77;14;0;2;1;I;0.3
1;84;14;0;2;1;I;0.8
1;0;15;0;2;1;I;0
1;14;15;0;2;1;I;0
1;21;15;0;2;1;I;0
1;28;15;0;2;1;I;0
1;35;15;0;2;1;I;0
1;42;15;0;2;1;I;0.14
1;49;15;0;2;1;I;0.3
1;56;15;0;2;1;I;0.28
1;63;15;0;2;1;I;1.8
1;70;15;0;2;1;I;2
1;77;15;0;2;1;I;NA
1;84;15;0;2;1;I;NA
1;0;16;0;2;1;I;0
1;14;16;0;2;1;I;0
1;21;16;0;2;1;I;0
1;28;16;0;2;1;I;0.05
1;35;16;0;2;1;I;0.11
1;42;16;0;2;1;I;0.3
1;49;16;0;2;1;I;0.6
1;56;16;0;2;1;I;NA
1;63;16;0;2;1;I;NA
1;70;16;0;2;1;I;NA
1;77;16;0;2;1;I;NA
1;84;16;0;2;1;I;NA
1;0;17;0;2;1;I;0
1;14;17;0;2;1;I;0
1;21;17;0;2;1;I;0
1;28;17;0;2;1;I;0
1;35;17;0;2;1;I;0.06
1;42;17;0;2;1;I;0.25
1;49;17;0;2;1;I;0.8
1;56;17;0;2;1;I;2.3
1;63;17;0;2;1;I;3.8
1;70;17;0;2;1;I;NA
1;77;17;0;2;1;I;NA
1;84;17;0;2;1;I;NA
1;0;18;0;2;1;I;0
1;14;18;0;2;1;I;0
1;21;18;0;2;1;I;0
1;28;18;0;2;1;I;0
1;35;18;0;2;1;I;0
1;42;18;0;2;1;I;0.08
1;49;18;0;2;1;I;0.09
1;56;18;0;2;1;I;0.25
1;63;18;0;2;1;I;0.8
1;70;18;0;2;1;I;0.8
1;77;18;0;2;1;I;1
1;84;18;0;2;1;I;1.4
1;0;19;0;2;1;I;0
1;14;19;0;2;1;I;0
1;21;19;0;2;1;I;0
1;28;19;0;2;1;I;0
1;35;19;0;2;1;I;0
1;42;19;0;2;1;I;0.09
1;49;19;0;2;1;I;0.09
1;56;19;0;2;1;I;0.19
1;63;19;0;2;1;I;0.3
1;70;19;0;2;1;I;0.3
1;77;19;0;2;1;I;0.2
1;84;19;0;2;1;I;0.6
1;0;20;0;2;1;I;0
1;14;20;0;2;1;I;0
1;21;20;0;2;1;I;0
1;28;20;0;2;1;I;0
1;35;20;0;2;1;I;0
1;42;20;0;2;1;I;0.04
1;49;20;0;2;1;I;NA
1;56;20;0;2;1;I;0.1
1;63;20;0;2;1;I;0.3
1;70;20;0;2;1;I;0.4
1;77;20;0;2;1;I;0.2
1;84;20;0;2;1;I;0.8
1;0;21;0;1;2;I;0
1;14;21;0;1;2;I;0.03
1;21;21;0;1;2;I;0.1
1;28;21;0;1;2;I;0.2
1;35;21;0;1;2;I;0.9
1;42;21;0;1;2;I;0.8
1;49;21;0;1;2;I;NA
1;56;21;0;1;2;I;NA
1;63;21;0;1;2;I;NA
1;70;21;0;1;2;I;NA
1;77;21;0;1;2;I;NA
1;84;21;0;1;2;I;NA
1;0;22;0;1;2;I;0
1;14;22;0;1;2;I;0.09
1;21;22;0;1;2;I;0.12
1;28;22;0;1;2;I;1
1;35;22;0;1;2;I;2
1;42;22;0;1;2;I;NA
1;49;22;0;1;2;I;NA
1;56;22;0;1;2;I;NA
1;63;22;0;1;2;I;NA
1;70;22;0;1;2;I;NA
1;77;22;0;1;2;I;NA
1;84;22;0;1;2;I;NA
1;0;23;0;1;2;I;0
1;14;23;0;1;2;I;0
1;21;23;0;1;2;I;0
1;28;23;0;1;2;I;0.1
1;35;23;0;1;2;I;1.6
1;42;23;0;1;2;I;NA
1;49;23;0;1;2;I;NA
1;56;23;0;1;2;I;NA
1;63;23;0;1;2;I;NA
1;70;23;0;1;2;I;NA
1;77;23;0;1;2;I;NA
1;84;23;0;1;2;I;NA
1;0;24;0;1;2;I;0
1;14;24;0;1;2;I;0
1;21;24;0;1;2;I;0.05
1;28;24;0;1;2;I;0.15
1;35;24;0;1;2;I;2.4
1;42;24;0;1;2;I;NA
1;49;24;0;1;2;I;NA
1;56;24;0;1;2;I;NA
1;63;24;0;1;2;I;NA
1;70;24;0;1;2;I;NA
1;77;24;0;1;2;I;NA
1;84;24;0;1;2;I;NA
1;0;25;0;1;2;I;0
1;14;25;0;1;2;I;0
1;21;25;0;1;2;I;0
1;28;25;0;1;2;I;0.14
1;35;25;0;1;2;I;1.8
1;42;25;0;1;2;I;2
1;49;25;0;1;2;I;NA
1;56;25;0;1;2;I;NA
1;63;25;0;1;2;I;NA
1;70;25;0;1;2;I;NA
1;77;25;0;1;2;I;NA
1;84;25;0;1;2;I;NA
1;0;26;0;1;2;I;0
1;14;26;0;1;2;I;0
1;21;26;0;1;2;I;0.05
1;28;26;0;1;2;I;0.08
1;35;26;0;1;2;I;0.9
1;42;26;0;1;2;I;2.3
1;49;26;0;1;2;I;4.5
1;56;26;0;1;2;I;NA
1;63;26;0;1;2;I;NA
1;70;26;0;1;2;I;NA
1;77;26;0;1;2;I;NA
1;84;26;0;1;2;I;NA
1;0;27;0;1;2;I;0
1;14;27;0;1;2;I;0
1;21;27;0;1;2;I;0
1;28;27;0;1;2;I;0.05
1;35;27;0;1;2;I;0.8
1;42;27;0;1;2;I;0.7
1;49;27;0;1;2;I;1
1;56;27;0;1;2;I;4
1;63;27;0;1;2;I;2.8
1;70;27;0;1;2;I;NA
1;77;27;0;1;2;I;NA
1;84;27;0;1;2;I;NA
1;0;28;0;1;2;I;0
1;14;28;0;1;2;I;0
1;21;28;0;1;2;I;0.9
1;28;28;0;1;2;I;0.5
1;35;28;0;1;2;I;2.5
1;42;28;0;1;2;I;NA
1;49;28;0;1;2;I;NA
1;56;28;0;1;2;I;NA
1;63;28;0;1;2;I;NA
1;70;28;0;1;2;I;NA
1;77;28;0;1;2;I;NA
1;84;28;0;1;2;I;NA
1;0;29;0;1;2;I;0
1;14;29;0;1;2;I;0
1;21;29;0;1;2;I;0
1;28;29;0;1;2;I;0
1;35;29;0;1;2;I;1.5
1;42;29;0;1;2;I;0.6
1;49;29;0;1;2;I;2
1;56;29;0;1;2;I;NA
1;63;29;0;1;2;I;NA
1;70;29;0;1;2;I;NA
1;77;29;0;1;2;I;NA
1;84;29;0;1;2;I;NA
1;0;30;0;1;2;I;0
1;14;30;0;1;2;I;0.05
1;21;30;0;1;2;I;0.05
1;28;30;0;1;2;I;0.05
1;35;30;0;1;2;I;1
1;42;30;0;1;2;I;0.4
1;49;30;0;1;2;I;1.2
1;56;30;0;1;2;I;NA
1;63;30;0;1;2;I;NA
1;70;30;0;1;2;I;NA
1;77;30;0;1;2;I;NA
1;84;30;0;1;2;I;NA
1;0;31;0;2;2;I;0
1;14;31;0;2;2;I;NA
1;21;31;0;2;2;I;NA
1;28;31;0;2;2;I;NA
1;35;31;0;2;2;I;NA
1;42;31;0;2;2;I;NA
1;49;31;0;2;2;I;NA
1;56;31;0;2;2;I;NA
1;63;31;0;2;2;I;NA
1;70;31;0;2;2;I;NA
1;77;31;0;2;2;I;NA
1;84;31;0;2;2;I;NA
1;0;32;0;2;2;I;0
1;14;32;0;2;2;I;0.09
1;21;32;0;2;2;I;0.18
1;28;32;0;2;2;I;0.15
1;35;32;0;2;2;I;1.2
1;42;32;0;2;2;I;NA
1;49;32;0;2;2;I;NA
1;56;32;0;2;2;I;NA
1;63;32;0;2;2;I;NA
1;70;32;0;2;2;I;NA
1;77;32;0;2;2;I;NA
1;84;32;0;2;2;I;NA
1;0;33;0;2;2;I;0
1;14;33;0;2;2;I;NA
1;21;33;0;2;2;I;NA
1;28;33;0;2;2;I;NA
1;35;33;0;2;2;I;NA
1;42;33;0;2;2;I;NA
1;49;33;0;2;2;I;NA
1;56;33;0;2;2;I;NA
1;63;33;0;2;2;I;NA
1;70;33;0;2;2;I;NA
1;77;33;0;2;2;I;NA
