palha;bloc;K;N;ncm;pmc;tch;pol;tsh;tfn;tfk
1;1;0;0;6.26;1.05;54.77;14.65;8.02;17.31;16.79
1;2;0;0;6.47;1.22;65.49;15.25;9.99;17.31;18.61
1;3;0;0;7.98;1.26;83.47;14.91;12.45;18.08;14.67
1;4;0;0;8.6;1.2;86;15.64;13.45;18.86;15.88
1;5;0;0;7.48;1.2;74.8;16.06;12.01;15.77;14.97
1;1;0;45;7.14;1.39;82.75;14.92;12.34;21.17;15.28
1;2;0;45;7.66;1.14;72.77;15.35;11.17;17.16;17.1
1;3;0;45;7.99;1.26;83.53;14.53;12.14;18.75;14.3
1;4;0;45;7.31;1.3;79.15;15.8;12.51;19.17;16.15
1;5;0;45;7.68;1.29;82.56;15.7;12.96;20.01;16.7
1;1;0;90;8.14;1.4;95.01;15.24;14.48;11.9;16.49
1;2;0;90;7.39;1.18;72.64;15.01;10.9;15.15;19.22
1;3;0;90;7.8;1.44;93.6;16.07;15.04;14.15;17.73
1;4;0;90;7.88;1.38;90.62;15.2;13.77;12.13;18.72
1;5;0;90;7.83;1.34;87.43;15;13.11;13.53;17.84
1;1;0;135;7.99;1.5;99.87;14.96;14.94;19.63;15.88
1;2;0;135;5.68;1.22;57.74;15.31;8.84;19.75;15.67
1;3;0;135;8.89;1.45;107.42;14.82;15.92;19.83;16.51
1;4;0;135;7.79;1.43;92.83;15.6;14.48;19.67;16.21
1;5;0;135;8.99;1.38;103.38;15.5;16.02;19.62;12.13
1;1;0;180;6.08;1.3;65.86;15.01;9.89;17.31;17.1
1;2;0;180;8.81;1.64;120.4;13.97;16.82;17.31;15.88
1;3;0;180;8.12;1.55;104.88;17.2;18.04;17.21;16.73
1;4;0;180;8.8;1.52;111.46;15.2;16.94;17.23;13.45
1;5;0;180;8.53;1.51;107.33;15.1;16.21;18.21;16.48
1;1;45;0;7.42;1.15;71.11;15.75;11.2;14.06;15.58
1;2;45;0;7.35;1.24;75.95;14.93;11.34;16.54;17.1
1;3;45;0;8.2;1.25;85.41;14.93;12.76;16.33;16.34
1;4;45;0;6.53;1.26;68.51;15.5;10.62;15.39;15.56
1;5;45;0;7.38;1.23;75.64;15.1;11.42;15.25;17.2
1;1;45;45;7.56;1.32;83.16;15.92;13.24;15.92;18
1;2;45;45;7.68;1.17;74.88;15.51;11.62;16.38;15.88
1;3;45;45;7.8;1.41;91.65;13.67;12.53;13.24;15.78
1;4;45;45;7.46;1.33;82.68;15.4;12.73;17.15;17.3
1;5;45;45;7.5;1.36;85;15.7;13.34;16.15;16.94
1;1;45;90;8;1.46;97.33;15.54;15.13;16.55;18.61
1;2;45;90;8.42;1.28;89.81;15.67;14.08;15.92;17.1
1;3;45;90;8.15;1.42;96.44;15.54;14.98;16.21;18.32
1;4;45;90;8.05;1.44;96.6;15;14.49;15.92;17.83
1;5;45;90;7.8;1.46;94.9;14.7;13.95;16.2;17.21
1;1;45;135;8.39;1.43;99.98;14.49;14.49;19.63;13.76
1;2;45;135;8.2;1.35;92.25;14.43;13.31;16.38;17.4
1;3;45;135;8.08;1.51;101.33;15.39;15.59;17.99;15.52
1;4;45;135;8.14;1.43;97;15.8;15.33;18.09;17.62
1;5;45;135;8.28;1.47;101.43;15.9;16.13;18.01;15.58
1;1;45;180;8.57;1.5;107.12;14.12;15.13;17.16;15.58
1;2;45;180;7.08;1.61;94.99;14.8;14.06;18.08;17.7
1;3;45;180;8.45;1.33;93.65;14.15;13.25;19.12;16.7
1;4;45;180;8.92;1.5;111.5;16.7;18.62;15.39;16.65
1;5;45;180;8.71;1.57;113.98;16.5;18.81;17.62;16.63
1;1;90;0;5.15;1.2;51.5;15.17;7.81;18.86;18.31
1;2;90;0;7.6;1.31;82.96;14.32;11.88;18.72;18.4
1;3;90;0;7.96;1.44;95.52;14.21;13.57;18.93;19.32
1;4;90;0;8.97;1.35;100.91;16.1;16.25;18.54;17.23
1;5;90;0;7.98;1.33;88.44;16.6;14.68;18.88;18.29
1;1;90;45;7.9;1.42;93.48;15.6;14.59;8.19;16.19
1;2;90;45;7.82;1.32;86.02;15.64;13.45;18.55;15.88
1;3;90;45;7.98;1.5;99.75;14.8;14.76;17.63;14.59
1;4;90;45;8;1.43;95.3;15.1;14.39;13.32;16.04
1;5;90;45;7.89;1.42;93.36;14.9;13.91;13.36;16.15
1;1;90;90;8.13;1.35;91.46;16.03;14.66;18.08;17.7
1;2;90;90;8.02;1.5;100.25;13.95;13.98;16.54;16.79
1;3;90;90;8.41;1.44;100.92;14.75;14.88;18.08;17.7
1;4;90;90;8.26;1.43;98.43;15.8;15.55;12.33;17.5
1;5;90;90;8;1.47;98;15.7;15.39;18.75;17.69
1;1;90;135;8.1;1.36;91.8;14.21;13.04;16.54;16.79
1;2;90;135;7.56;1.47;92.61;16.89;15.65;14.99;14.67
1;3;90;135;8.34;1.48;102.86;15.1;15.54;15.56;17.79
1;4;90;135;8.92;1.58;117.44;15;17.62;15.65;14.59
1;5;90;135;8.95;1.45;108.14;14.8;16;17.58;15.73
1;1;90;180;8.57;1.38;98.54;17.13;16.88;19.78;15.88
1;2;90;180;8.26;1.5;102.9;15.01;15.45;15.77;17.4
1;3;90;180;8.43;1.49;104.68;14.72;15.41;17.76;16.63
1;4;90;180;8;1.55;103.33;15;15.5;17.85;16.23
1;5;90;180;8.66;1.56;112.53;14.6;16.43;17.77;16.62
1;1;135;0;7.88;1.25;82.08;15.14;12.43;17.47;13.76
1;2;135;0;7.7;1.39;89.19;14.57;12.99;15.77;16.19
1;3;135;0;7.45;1.39;86.29;13.78;11.89;16.6;14.56
1;4;135;0;7.18;1.39;83.17;16.1;13.39;16.43;15.4
1;5;135;0;7.45;1.36;84.43;16.5;13.93;16.66;14.98
1;1;135;45;8.34;1.47;102.21;15.49;15.83;8.81;19.22
1;2;135;45;8;1.45;96.66;15.59;15.07;14.06;19.52
1;3;135;45;7.93;1.47;97.14;14.95;14.52;12.15;19.45
1;4;135;45;7.53;1.38;86.61;15.2;13.16;11.45;19.24
1;5;135;45;7.63;1.44;91.5;15.1;13.82;11.43;19.37
1;1;135;90;8.46;1.34;94.47;13.65;12.9;18.7;18
1;2;135;90;8.55;1.57;111.86;15.47;17.31;17;14.97
1;3;135;90;7.02;1.33;77.8;14.89;11.59;18.5;15.5
1;4;135;90;8.58;1.58;112.97;15.9;17.96;17.79;16.48
1;5;135;90;8.96;1.46;109.01;16.3;17.77;17.65;16.49
1;1;135;135;8.38;1.56;108.87;14.74;16.05;21.33;17.1
1;2;135;135;8.68;1.53;110.67;13.99;15.48;18.08;17.7
